年份,院校名称,院校代码,科类,批次,招生类型,专业组,选科要求,录取人数,最低分数,最低分位,批次线差,学校所在,学校性质,是否985,是否211
2023,华东理工大学,A251,综合,普通类一段,普通类,,,,601,23352,158,上海,公办,否,是
2023,华中农业大学,A504,综合,普通类一段,普通类,,,,571,48214,128,湖北,公办,否,是
2023,华中师范大学,A511,综合,普通类一段,普通类,,,,595,27735,152,湖北,公办,否,是
2023,华中科技大学,A487,综合,普通类一段,普通类,,,,638,7109,195,湖北,公办,是,是
2023,华中科技大学,A487,综合,普通类一段,中外合作办学,,,,627,10709,184,湖北,公办,是,是
2023,华侨大学,A385,综合,普通类一段,普通类,,,,528,110239,85,福建,公办,否,否
2023,华北水利水电大学,A078,综合,普通类一段,普通类,,,,511,142466,68,河南,公办,否,否
2023,华北水利水电大学,A078,综合,普通类一段,中外合作办学,,,,494,180917,51,河南,公办,否,否
2023,华北理工大学,A081,综合,普通类二段,普通类,,,,462,259934,312,河北,公办,否,否
2023,华北理工大学,A081,综合,普通类一段,普通类,,,,455,278174,12,河北,公办,否,否
2023,华北理工大学,A081,综合,普通类一段,二次志愿,,,,579,40361,136,河北,公办,否,否
2023,华北理工大学,A081,综合,普通类一段,中外合作办学,,,,492,186791,49,河北,公办,否,否
2023,华北理工大学冀唐学院,D596,综合,普通类一段,普通类,,,,494,183146,51,河北,民办,否,否
2023,华北理工大学轻工学院,D408,综合,普通类一段,普通类,,,,469,243591,26,河北,民办,否,否
2023,华北电力大学（保定）,A079,综合,普通类一段,普通类,,,,581,38384,138,河北,公办,否,是
2023,华北电力大学（北京）,A054,综合,普通类一段,普通类,,,,602,22942,159,北京,公办,否,是
2023,华北科技学院,B104,综合,普通类一段,普通类,,,,492,187516,49,河北,公办,否,否
2023,华北科技学院,B104,综合,普通类一段,二次志愿,,,,527,111230,84,河北,公办,否,否
2023,华北科技学院,B104,综合,普通类一段,男生,,,,492,187106,49,河北,公办,否,否
2023,华北科技学院,B104,综合,普通类一段,中外合作办学,,,,486,199969,43,河北,公办,否,否
2023,华南农业大学,A564,综合,普通类一段,普通类,,,,565,54631,122,广东,公办,否,否
2023,华南农业大学,A564,综合,普通类一段,中外合作办学,,,,561,59646,118,广东,公办,否,否
2023,华南师范大学,A574,综合,普通类一段,普通类,,,,584,36195,141,广东,公办,否,是
2023,华南理工大学,A561,综合,普通类一段,普通类,,,,617,14899,174,广东,公办,是,是
2023,南京中医药大学,A315,综合,普通类一段,普通类,,,,570,49190,127,江苏,公办,否,否
2023,南京交通职业技术学院,C804,综合,普通类二段,普通类,,,,439,316074,289,江苏,公办,否,否
2023,南京传媒学院,D687,综合,普通类一段,普通类,,,,499,169365,56,江苏,民办,否,否
2023,南京体育学院,A330,综合,普通类一段,普通类,,,,501,164832,58,江苏,公办,否,否
2023,南京信息工程大学,A300,综合,普通类一段,普通类,,,,580,39433,137,江苏,公办,否,否
2023,南京信息工程大学,A300,综合,普通类一段,联合培养,,,,582,37259,139,江苏,公办,否,否
2023,南京信息工程大学,A300,综合,普通类一段,中外合作办学,,,,568,50946,125,江苏,公办,否,否
2023,南京信息职业技术学院,D112,综合,普通类二段,普通类,,,,444,304231,294,江苏,公办,否,否
2023,南京农业大学,A307,综合,普通类一段,普通类,,,,574,44909,131,江苏,公办,否,是
2023,南京医科大学,A312,综合,普通类一段,普通类,,,,575,43612,132,江苏,公办,否,否
2023,南京医科大学康达学院,D980,综合,普通类一段,普通类,,,,476,224576,33,江苏,民办,否,否
2023,南京城市职业学院,E422,综合,普通类二段,普通类,,,,423,353985,273,江苏,公办,否,否
2023,南京大学,A284,综合,普通类一段,普通类,,,,668,1389,225,江苏,公办,是,是
2023,南京审计大学,B287,综合,普通类一段,普通类,,,,585,34831,142,江苏,公办,否,否
2023,南京审计大学,B287,综合,普通类一段,中外合作办学,,,,558,62853,115,江苏,公办,否,否
2023,南京审计大学金审学院,D994,综合,普通类一段,普通类,,,,481,213123,38,江苏,民办,否,否
2023,南京工业大学,A291,综合,普通类一段,普通类,,,,556,66193,113,江苏,公办,否,否
2023,南京工业大学,A291,综合,普通类一段,中外合作办学,,,,557,64341,114,江苏,公办,否,否
2023,南京工业大学浦江学院,D905,综合,普通类一段,普通类,,,,477,223549,34,江苏,民办,否,否
2023,南京工业职业技术大学,A850,综合,普通类一段,普通类,,,,501,165783,58,江苏,公办,否,否
2023,南京工程学院,B276,综合,普通类一段,普通类,,,,533,100738,90,江苏,公办,否,否
2023,南京工程学院,B276,综合,普通类一段,中外合作办学,,,,490,192089,47,江苏,公办,否,否
2023,南京师范大学,A319,综合,普通类一段,普通类,,,,593,29212,150,江苏,公办,否,是
2023,南京师范大学中北学院,D906,综合,普通类一段,普通类,,,,479,217354,36,江苏,民办,否,否
2023,南京师范大学泰州学院,D843,综合,普通类一段,普通类,,,,478,221861,35,江苏,民办,否,否
2023,南京旅游职业学院,E180,综合,普通类二段,普通类,,,,366,476268,216,江苏,公办,否,否
2023,南京晓庄学院,B460,综合,普通类一段,普通类,,,,507,152325,64,江苏,公办,否,否
2023,南京机电职业技术学院,E056,综合,普通类二段,普通类,,,,442,309242,292,江苏,公办,否,否
2023,南京林业大学,A298,综合,普通类一段,普通类,,,,571,47913,128,江苏,公办,否,否
2023,南京林业大学,A298,综合,普通类一段,中外合作办学,,,,544,83335,101,江苏,公办,否,否
2023,南京特殊教育师范学院,C048,综合,普通类一段,普通类,,,,492,187233,49,江苏,公办,否,否
2023,南京理工大学,A288,综合,普通类一段,普通类,,,,608,19306,165,江苏,公办,否,是
2023,南京理工大学,A288,综合,普通类一段,中外合作办学,,,,586,33949,143,江苏,公办,否,是
2023,南京理工大学泰州科技学院,D842,综合,普通类一段,普通类,,,,477,222685,34,江苏,民办,否,否
2023,南京理工大学紫金学院,D654,综合,普通类一段,普通类,,,,481,212361,38,江苏,民办,否,否
2023,南京科技职业学院,C920,综合,普通类二段,普通类,,,,435,326328,285,江苏,公办,否,否
2023,南京航空航天大学,A287,综合,普通类一段,普通类,,,,607,20004,164,江苏,公办,否,是
2023,南京航空航天大学,A287,综合,普通类一段,中外合作办学,,,,587,33130,144,江苏,公办,否,是
2023,南京艺术学院,A331,综合,普通类一段,普通类,,,,558,63509,115,江苏,公办,否,否
2023,南京视觉艺术职业学院,D964,综合,普通类二段,普通类,,,,366,476583,216,江苏,民办,否,否
2023,南京警察学院,B466,综合,提前批,地方（女生）,,,,609,18997,,江苏,公办,否,否
2023,南京警察学院,B466,综合,提前批,缉私（男生）,,,,599,24985,,江苏,公办,否,否
2023,南京警察学院,B466,综合,提前批,地方（男生）,,,,545,81925,,江苏,公办,否,否
2023,南京财经大学,A327,综合,普通类一段,普通类,,,,565,54498,122,江苏,公办,否,否
2023,南京财经大学,A327,综合,普通类一段,中外合作办学,,,,570,49596,127,江苏,公办,否,否
2023,南京财经大学红山学院,D990,综合,普通类一段,普通类,,,,478,221826,35,江苏,民办,否,否
2023,南京邮电大学,A293,综合,普通类一段,普通类,,,,584,35953,141,江苏,公办,否,否
2023,南京邮电大学通达学院,D989,综合,普通类一段,普通类,,,,480,215022,37,江苏,民办,否,否
2023,南京铁道职业技术学院,D106,综合,普通类二段,普通类,,,,459,267452,309,江苏,公办,否,否
2023,南充文化旅游职业学院,E728,综合,普通类二段,普通类,,,,346,513861,196,四川,公办,否,否
2023,南充电影工业职业学院,E729,综合,普通类二段,普通类,,,,224,650692,74,四川,民办,否,否
2023,南充科技职业学院,E671,综合,普通类二段,普通类,,,,255,634387,105,四川,民办,否,否
2023,南华大学,A555,综合,普通类一段,普通类,,,,501,166266,58,湖南,公办,否,否
2023,南华大学船山学院,C650,综合,普通类一段,普通类,,,,473,232101,30,湖南,民办,否,否
2023,南宁学院,B549,综合,普通类一段,普通类,,,,456,274915,13,广西,民办,否,否
2023,南宁师范大学,A603,综合,普通类一段,普通类,,,,495,179328,52,广西,公办,否,否
2023,南宁师范大学,A603,综合,普通类一段,中外合作办学,,,,494,181845,51,广西,公办,否,否
2023,南开大学,A055,综合,普通类一段,普通类,,,,647,4701,204,天津,公办,是,是
2023,南开大学,A055,综合,普通类一段,中外合作办学,,,,619,13840,176,天津,公办,是,是
2023,南方医科大学,C121,综合,普通类一段,普通类,,,,574,45136,131,广东,公办,否,否
2023,南昌交通学院,D431,综合,普通类一段,普通类,,,,469,244066,26,江西,民办,否,否
2023,南昌医学院,D437,综合,普通类一段,普通类,,,,504,159592,61,江西,公办,否,否
2023,南昌大学,A403,综合,普通类一段,普通类,,,,514,137749,71,江西,公办,否,是
2023,南昌大学,A403,综合,普通类一段,中法实验班,,,,588,32858,145,江西,公办,否,是
2023,南昌大学,A403,综合,普通类一段,中外合作办学,,,,580,38925,137,江西,公办,否,是
2023,南昌大学科学技术学院,D429,综合,普通类一段,普通类,,,,477,223254,34,江西,民办,否,否
2023,南昌工学院,D421,综合,普通类一段,普通类,,,,464,254769,21,江西,民办,否,否
2023,南昌工学院,D421,综合,普通类二段,普通类,,,,372,463556,222,江西,民办,否,否
2023,南昌师范学院,E437,综合,普通类一段,普通类,,,,490,192614,47,江西,公办,否,否
2023,南昌应用技术师范学院,D440,综合,普通类一段,普通类,,,,474,230332,31,江西,民办,否,否
2023,南昌应用技术师范学院,D440,综合,普通类二段,普通类,,,,363,482657,213,江西,民办,否,否
2023,南昌影视传播职业学院,E544,综合,普通类二段,普通类,,,,338,529385,188,江西,民办,否,否
2023,南昌影视传播职业学院,E544,综合,普通类二段,中外合作办学,,,,322,556722,172,江西,民办,否,否
2023,南昌理工学院,C795,综合,普通类一段,普通类,,,,468,246612,25,江西,民办,否,否
2023,南昌理工学院,C795,综合,普通类二段,普通类,,,,161,661574,11,江西,民办,否,否
2023,南昌职业大学,D420,综合,普通类二段,普通类,,,,420,361176,270,江西,民办,否,否
2023,南昌航空大学,A406,综合,普通类一段,普通类,,,,506,153945,63,江西,公办,否,否
2023,南昌航空大学科技学院,D433,综合,普通类一段,普通类,,,,474,229567,31,江西,民办,否,否
2023,南通大学,A304,综合,普通类一段,普通类,,,,530,105974,87,江苏,公办,否,否
2023,南通大学杏林学院,D993,综合,普通类一段,普通类,,,,474,231109,31,江苏,民办,否,否
2023,南通理工学院,C056,综合,普通类一段,普通类,,,,463,257615,20,江苏,民办,否,否
2023,南通科技职业学院,C684,综合,普通类二段,普通类,,,,415,373039,265,江苏,公办,否,否
2023,南通职业大学,B052,综合,普通类二段,普通类,,,,431,335532,281,江苏,公办,否,否
2023,南阳农业职业学院,E479,综合,普通类二段,普通类,,,,371,465851,221,河南,公办,否,否
2023,南阳医学高等专科学校,D781,综合,普通类二段,普通类,,,,456,275869,306,河南,公办,否,否
2023,南阳师范学院,A481,综合,普通类一段,普通类,,,,479,217951,36,河南,公办,否,否
2023,南阳理工学院,B653,综合,普通类一段,普通类,,,,480,214623,37,河南,公办,否,否
2023,南阳理工学院,B653,综合,普通类一段,中外合作办学,,,,480,214923,37,河南,公办,否,否
2023,南阳职业学院,E353,综合,普通类二段,普通类,,,,164,661419,14,河南,民办,否,否
2023,博尔塔拉职业技术学院,E622,综合,普通类二段,普通类,,,,264,627640,114,新疆,公办,否,否
2023,厦门东海职业技术学院,E112,综合,普通类二段,普通类,,,,255,634242,105,福建,民办,否,否
2023,厦门兴才职业技术学院,D979,综合,普通类二段,普通类,,,,223,651013,73,福建,民办,否,否
2023,厦门华厦学院,C709,综合,普通类一段,普通类,,,,471,238947,28,福建,民办,否,否
2023,厦门华天涉外职业技术学院,D768,综合,普通类二段,普通类,,,,257,632893,107,福建,民办,否,否
2023,厦门南洋职业学院,E111,综合,普通类二段,普通类,,,,253,635627,103,福建,民办,否,否
2023,厦门城市职业学院,D973,综合,普通类二段,普通类,,,,405,393790,255,福建,公办,否,否
2023,厦门大学,A384,综合,普通类一段,普通类,,,,633,8612,190,福建,公办,是,是
2023,厦门大学,A384,综合,普通类一段,马来西亚分校,,,,586,34056,143,福建,公办,是,是
2023,厦门大学嘉庚学院,D469,综合,普通类一段,普通类,,,,474,230002,31,福建,民办,否,否
2023,厦门安防科技职业学院,E257,综合,普通类二段,普通类,,,,215,653654,65,福建,民办,否,否
2023,厦门工学院,D115,综合,普通类一段,普通类,,,,471,237265,28,福建,民办,否,否
2023,厦门演艺职业学院,D767,综合,普通类二段,普通类,,,,195,658094,45,福建,民办,否,否
2023,厦门理工学院,B062,综合,普通类一段,普通类,,,,522,121259,79,福建,公办,否,否
2023,厦门理工学院,B062,综合,普通类一段,中外合作办学,,,,527,110854,84,福建,公办,否,否
2023,厦门软件职业技术学院,E059,综合,普通类二段,普通类,,,,278,615073,128,福建,民办,否,否
2023,台州学院,A350,综合,普通类一段,普通类,,,,496,176929,53,浙江,公办,否,否
2023,台州学院,A350,综合,普通类一段,中外合作办学,,,,473,233643,30,浙江,公办,否,否
2023,合肥城市学院,D615,综合,普通类一段,普通类,,,,469,244279,26,安徽,民办,否,否
2023,合肥大学,B059,综合,普通类一段,普通类,,,,493,183380,50,安徽,公办,否,否
2023,合肥大学,B059,综合,普通类一段,中外合作办学,,,,479,219389,36,安徽,公办,否,否
2023,合肥工业大学,H359,综合,普通类一段,普通类,,,,584,35617,141,安徽,公办,否,是
2023,合肥工业大学,H359,综合,普通类一段,中外合作办学,,,,576,43523,133,安徽,公办,否,是
2023,合肥工业大学（宣城校区）,H359,综合,普通类一段,普通类,,,,582,37404,139,安徽,公办,否,是
2023,合肥师范学院,E098,综合,普通类一段,普通类,,,,488,197303,45,安徽,公办,否,否
2023,合肥幼儿师范高等专科学校,E330,综合,普通类二段,普通类,,,,425,348934,275,安徽,公办,否,否
2023,合肥通用职业技术学院,C410,综合,普通类二段,普通类,,,,400,406042,250,安徽,公办,否,否
2023,吉利学院,C802,综合,普通类一段,普通类,,,,456,274947,13,四川,民办,否,否
2023,吉安职业技术学院,E504,综合,普通类二段,普通类,,,,356,496196,206,江西,公办,否,否
2023,吉林交通职业技术学院,C049,综合,普通类二段,普通类,,,,409,386192,259,吉林,公办,否,否
2023,吉林农业大学,A193,综合,普通类一段,普通类,,,,498,173274,55,吉林,公办,否,否
2023,吉林农业大学,A193,综合,普通类一段,中外合作办学,,,,485,204305,42,吉林,公办,否,否
2023,吉林农业科技学院,B439,综合,普通类一段,普通类,,,,482,211423,39,吉林,公办,否,否
2023,吉林农业科技学院,B439,综合,普通类一段,中外合作办学,,,,477,222955,34,吉林,公办,否,否
2023,吉林动画学院,D607,综合,普通类一段,普通类,,,,463,258561,20,吉林,民办,否,否
2023,吉林化工大学,,综合,普通类一段,普通类,,,,484,204805,41,吉林,公办,否,否
2023,吉林化工大学,,综合,普通类一段,中外合作办学,,,,476,224669,33,吉林,公办,否,否
2023,吉林医药学院,D706,综合,普通类一段,普通类,,,,483,207993,40,吉林,公办,否,否
2023,吉林医药学院,D706,综合,普通类一段,二次志愿,,,,526,112579,83,吉林,公办,否,否
2023,吉林医药学院,D706,综合,普通类一段,中外合作办学,,,,470,241263,27,吉林,公办,否,否
2023,吉林司法警官职业学院,C901,综合,普通类二段,普通类,,,,411,381102,261,吉林,公办,否,否
2023,吉林外国语大学,A964,综合,普通类一段,普通类,,,,467,248503,24,吉林,民办,否,否
2023,吉林外国语大学,A964,综合,普通类一段,校企合作,,,,473,233593,30,吉林,民办,否,否
2023,吉林外国语大学,A964,综合,普通类一段,中外合作办学,,,,468,247058,25,吉林,民办,否,否
2023,吉林大学,A183,综合,普通类一段,普通类,,,,592,29556,149,吉林,公办,是,是
2023,吉林大学,A183,综合,普通类一段,中外合作办学,,,,596,27005,153,吉林,公办,是,是
