年份,院校名称,院校代码,科类,批次,招生类型,专业组,选科要求,录取人数,最低分数,最低分位,批次线差,学校所在,学校性质,是否985,是否211
2025,七台河职业学院,D918,综合,普通类二段,普通类,,,5,404,413835,254,黑龙江,公办,否,否
2025,七台河职业学院,D918,综合,普通类二段,护理类,,,15,375,473885,225,黑龙江,公办,否,否
2025,三亚中瑞酒店管理职业学院,E612,综合,普通类二段,普通类,,,47,162,679926,12,海南,民办,否,否
2025,三亚城市职业学院,C717,综合,普通类二段,普通类,,,53,152,680933,2,海南,民办,否,否
2025,三亚城市职业学院,C717,综合,普通类二段,中外合作办学,,,20,154,680783,4,海南,民办,否,否
2025,三亚学院,D892,综合,普通类一段,普通类,,,26,442,331240,1,海南,民办,否,否
2025,三亚学院,D892,综合,普通类一段,中外合作办学,,,3,485,224215,44,海南,民办,否,否
2025,三亚学院,D892,综合,普通类二段,中外合作办学（本科专业）,,,3,466,271558,316,海南,民办,否,否
2025,三亚学院,D892,综合,普通类二段,本科专业,,,8,428,362256,278,海南,民办,否,否
2025,三亚护理职业学院,E893,综合,普通类二段,普通类,,,,150,681127,0,海南,民办,否,否
2025,三亚理工职业学院,E236,综合,普通类二段,普通类,,,11,247,650762,97,海南,民办,否,否
2025,三亚理工职业学院,E236,综合,普通类二段,护理类,,,1,311,582830,161,海南,民办,否,否
2025,三亚航空旅游职业学院,D931,综合,普通类二段,普通类,,,173,186,676683,36,海南,民办,否,否
2025,三峡大学,B075,综合,普通类一段,普通类,,,189,515,152206,74,湖北,公办,否,否
2025,三峡大学,B075,综合,普通类二段,本科专业,,,2,558,70189,408,湖北,公办,否,否
2025,三峡大学,B075,综合,普通类一段,护理类,,,3,532,115641,91,湖北,公办,否,否
2025,三峡大学科技学院,D236,综合,普通类一段,普通类,,,8,475,249285,34,湖北,民办,否,否
2025,三峡大学科技学院,D236,综合,普通类二段,普通类,,,18,416,389687,266,湖北,民办,否,否
2025,三峡大学科技学院,D236,综合,普通类二段,护理类,,,2,415,392264,265,湖北,民办,否,否
2025,三峡旅游职业技术学院,E258,综合,普通类二段,普通类,,,50,363,497020,213,湖北,公办,否,否
2025,三峡电力职业学院,E061,综合,普通类二段,普通类,,,60,439,337151,289,湖北,公办,否,否
2025,三明学院,B311,综合,普通类一段,普通类,,,25,466,272163,25,福建,公办,否,否
2025,三江学院,B122,综合,普通类一段,普通类,,,49,444,326544,3,江苏,民办,否,否
2025,三门峡社会管理职业学院,E606,综合,普通类二段,普通类,,,180,276,625651,126,河南,公办,否,否
2025,三门峡职业技术学院,A842,综合,普通类二段,普通类,,,24,394,435228,244,河南,公办,否,否
2025,上海东海职业技术学院,A851,综合,普通类二段,普通类,,,140,257,643009,107,上海,民办,否,否
2025,上海东海职业技术学院,A851,综合,普通类二段,高本贯通,,,28,461,284503,311,上海,民办,否,否
2025,上海东海职业技术学院,A851,综合,普通类二段,护理类,,,8,340,538229,190,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类一段,普通类,,,22,456,297330,15,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类二段,普通类,,,7,391,441686,241,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类一段,护理类,,,1,497,194605,56,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类一段,中外合作办学,,,4,451,309630,10,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类二段,中外合作办学（本科专业）,,,1,440,334984,290,上海,民办,否,否
2025,上海中侨职业技术大学,C915,综合,普通类二段,护理类,,,1,417,386090,267,上海,民办,否,否
2025,上海中医药大学,A268,综合,普通类一段,普通类,,,,602,23663,161,上海,公办,否,否
2025,上海交通大学,A248,综合,普通类一段,普通类,,,194,654,2884,213,上海,公办,是,是
2025,上海交通大学医学院,H248,综合,普通类一段,普通类,,,24,665,1361,224,上海,公办,是,是
2025,上海交通职业技术学院,C497,综合,普通类二段,普通类,,,45,425,369350,275,上海,公办,否,否
2025,上海体育大学,A277,综合,普通类一段,普通类,,,12,569,55342,128,上海,公办,否,否
2025,上海健康医学院,A262,综合,普通类一段,普通类,,,,493,204390,52,上海,公办,否,否
2025,上海健康医学院,A262,综合,普通类一段,护理类,,,,524,132390,83,上海,公办,否,否
2025,上海农林职业技术学院,C912,综合,普通类二段,普通类,,,30,427,365504,277,上海,公办,否,否
2025,上海农林职业技术学院,C912,综合,普通类二段,高本贯通,,,5,472,256121,322,上海,公办,否,否
2025,上海出版印刷高等专科学校,B733,综合,普通类二段,普通类,,,41,440,334933,290,上海,公办,否,否
2025,上海出版印刷高等专科学校,B733,综合,普通类二段,高本贯通,,,12,467,268045,317,上海,公办,否,否
2025,上海出版印刷高等专科学校,B733,综合,普通类二段,中外合作办学,,,8,429,361201,279,上海,公办,否,否
2025,上海南湖职业技术学院,K371,综合,普通类二段,普通类,,,,425,370575,275,上海,公办,否,否
2025,上海商学院,C050,综合,普通类一段,普通类,,,11,537,106077,96,上海,公办,否,否
2025,上海商学院,C050,综合,普通类一段,中外合作办学,,,10,514,154449,73,上海,公办,否,否
2025,上海城建职业学院,C495,综合,普通类二段,普通类,,,128,428,361506,278,上海,公办,否,否
2025,上海城建职业学院,C495,综合,普通类二段,高本贯通,,,4,499,187845,349,上海,公办,否,否
2025,上海城建职业学院,C495,综合,普通类二段,护理类,,,8,460,286577,310,上海,公办,否,否
2025,上海外国语大学,A271,综合,普通类一段,普通类,,,21,611,17940,170,上海,公办,否,是
2025,上海外国语大学,A271,综合,普通类一段,中外合作办学,,,3,618,14159,177,上海,公办,否,是
2025,上海外国语大学贤达经济人文学院,D636,综合,普通类一段,普通类,,,16,454,302230,13,上海,民办,否,否
2025,上海大学,A280,综合,普通类一段,普通类,,,40,598,26492,157,上海,公办,否,是
2025,上海大学,A280,综合,普通类一段,中外合作办学,,,28,578,44745,137,上海,公办,否,是
2025,上海对外经贸大学,A273,综合,普通类一段,普通类,,,16,571,52899,130,上海,公办,否,否
2025,上海对外经贸大学,A273,综合,普通类一段,中外合作办学,,,6,573,50515,132,上海,公办,否,否
2025,上海工商外国语职业学院,C800,综合,普通类一段,普通类,,,,366,491983,,上海,民办,否,否
2025,上海工商外国语职业学院,C800,综合,普通类一段,中外合作办学,,,,376,472786,,上海,民办,否,否
2025,上海工商职业技术学院,A852,综合,普通类二段,普通类,,,,275,627322,125,上海,民办,否,否
2025,上海工商职业技术学院,A852,综合,普通类二段,高本贯通,,,,461,284937,311,上海,民办,否,否
2025,上海工商职业技术学院,A852,综合,普通类二段,中外合作办学,,,,282,619961,132,上海,民办,否,否
2025,上海工程技术大学,A856,综合,普通类一段,普通类,,,66,527,126019,86,上海,公办,否,否
2025,上海工艺美术职业学院,C588,综合,普通类二段,普通类,,,15,448,315236,298,上海,公办,否,否
2025,上海师范大学,A270,综合,普通类一段,普通类,,,149,523,134596,82,上海,公办,否,否
2025,上海师范大学,A270,综合,普通类一段,中外合作办学,,,36,506,173023,65,上海,公办,否,否
2025,上海师范大学天华学院,D893,综合,普通类一段,普通类,,,5,457,294840,16,上海,民办,否,否
2025,上海应用技术大学,A259,综合,普通类一段,普通类,,,19,566,59152,125,上海,公办,否,否
2025,上海应用技术大学,A259,综合,普通类一段,中外合作办学,,,6,543,94981,102,上海,公办,否,否
2025,上海建桥学院,C799,综合,普通类一段,普通类,,,8,482,231658,41,上海,民办,否,否
2025,上海建设管理职业技术学院,E781,综合,普通类二段,普通类,,,,414,394585,264,上海,公办,否,否
2025,上海思博职业技术学院,C586,综合,普通类二段,普通类,,,16,275,626761,125,上海,民办,否,否
2025,上海思博职业技术学院,C586,综合,普通类二段,护理类,,,2,343,532459,193,上海,民办,否,否
2025,上海思博职业技术学院,C586,综合,普通类二段,中外合作办学,,,2,331,553235,181,上海,民办,否,否
2025,上海戏剧学院,A279,综合,普通类一段,普通类,,,12,563,63106,122,上海,公办,否,否
2025,上海政法学院,B835,综合,普通类一段,普通类,,,60,550,82928,109,上海,公办,否,否
2025,上海旅游高等专科学校,A275,综合,普通类二段,普通类,,,83,359,504978,209,上海,公办,否,否
2025,上海杉达学院,B833,综合,普通类一段,普通类,,,6,484,226644,43,上海,民办,否,否
2025,上海杉达学院,B833,综合,普通类二段,普通类,,,4,428,362260,278,上海,民办,否,否
2025,上海杉达学院,B833,综合,普通类二段,高本贯通,,,2,465,273377,315,上海,民办,否,否
2025,上海民航职业技术学院,E394,综合,普通类二段,普通类,,,325,338,541317,188,上海,公办,否,否
2025,上海民航职业技术学院,E394,综合,普通类二段,高本贯通,,,8,466,271360,316,上海,公办,否,否
2025,上海民航职业技术学院,E394,综合,普通类二段,中外合作办学,,,12,427,365780,277,上海,公办,否,否
2025,上海民远职业技术学院,C584,综合,普通类二段,普通类,,,30,280,621761,130,上海,民办,否,否
2025,上海济光职业技术学院,C798,综合,普通类二段,普通类,,,89,265,636148,115,上海,民办,否,否
2025,上海济光职业技术学院,C798,综合,普通类二段,高本贯通,,,35,459,289816,309,上海,民办,否,否
2025,上海济光职业技术学院,C798,综合,普通类二段,护理类,,,10,301,597142,151,上海,民办,否,否
2025,上海浦东职业技术学院,E840,综合,普通类二段,普通类,,,10,434,349914,284,上海,公办,否,否
2025,上海海事大学,A254,综合,普通类一段,普通类,,,31,574,49311,133,上海,公办,否,否
2025,上海海关学院,A274,综合,普通类一段,普通类,,,17,585,37499,144,上海,公办,否,否
2025,上海海洋大学,A264,综合,普通类一段,普通类,,,51,566,59152,125,上海,公办,否,否
2025,上海海洋大学,A264,综合,普通类一段,中外合作办学,,,20,558,70316,117,上海,公办,否,否
2025,上海现代化工职业学院,E780,综合,普通类二段,普通类,,,28,421,377573,271,上海,公办,否,否
2025,上海理工大学,A252,综合,普通类一段,普通类,,,55,582,40556,141,上海,公办,否,否
2025,上海理工大学,A252,综合,普通类一段,中外合作办学,,,11,555,74908,114,上海,公办,否,否
2025,上海电力大学,A256,综合,普通类一段,普通类,,,60,577,45839,136,上海,公办,否,否
2025,上海电力大学,A256,综合,普通类一段,中外合作办学,,,6,599,25787,158,上海,公办,否,否
2025,上海电子信息职业技术学院,C499,综合,普通类二段,普通类,,,250,433,350485,283,上海,公办,否,否
2025,上海电影艺术职业学院,D747,综合,普通类二段,普通类,,,40,178,677941,28,上海,民办,否,否
2025,上海电机学院,B458,综合,普通类一段,普通类,,,22,526,128088,85,上海,公办,否,否
2025,上海电机学院,B458,综合,普通类一段,中外合作办学,,,12,526,128088,85,上海,公办,否,否
2025,上海科创职业技术学院,E778,综合,普通类二段,普通类,,,26,422,375085,272,上海,公办,否,否
2025,上海科学技术职业学院,C801,综合,普通类二段,普通类,,,,435,347607,285,上海,公办,否,否
2025,上海立信会计金融学院,B047,综合,普通类一段,普通类,,,90,544,93253,103,上海,公办,否,否
2025,上海立达学院,C587,综合,普通类一段,普通类,,,40,441,333469,0,上海,民办,否,否
2025,上海立达学院,C587,综合,普通类二段,本科专业,,,15,431,355615,281,上海,民办,否,否
2025,上海第二工业大学,C044,综合,普通类一段,普通类,,,,546,89643,105,上海,公办,否,否
2025,上海行健职业学院,C493,综合,普通类二段,普通类,,,,434,349914,284,上海,公办,否,否
2025,上海行健职业学院,C493,综合,普通类二段,中外合作办学,,,,429,361456,279,上海,公办,否,否
2025,上海视觉艺术学院,D632,综合,普通类一段,普通类,,,2,493,204390,52,上海,民办,否,否
2025,上海视觉艺术学院,D632,综合,普通类二段,本科专业,,,1,486,221588,336,上海,民办,否,否
2025,上海财经大学,A272,综合,普通类一段,普通类,,,64,619,13684,178,上海,公办,否,是
2025,上海财经大学,A272,综合,特殊类型批,高校专项计划,,,,540,100450,,上海,公办,否,是
2025,上海财经大学浙江学院,E207,综合,普通类一段,普通类,,,10,490,211746,49,浙江,民办,否,否
2025,上海邦德职业技术学院,C913,综合,普通类二段,普通类,,,,270,632108,120,上海,民办,否,否
2025,上海闵行职业技术学院,E779,综合,普通类二段,普通类,,,,426,368263,276,上海,公办,否,否
2025,上海震旦职业学院,C583,综合,普通类二段,普通类,,,,300,598692,150,上海,民办,否,否
2025,上海音乐学院,A278,综合,普通类一段,普通类,,,2,572,51672,131,上海,公办,否,否
2025,上饶师范学院,A416,综合,普通类一段,普通类,,,38,468,267038,27,江西,公办,否,否
2025,上饶幼儿师范高等专科学校,T312,综合,普通类二段,普通类,,,17,297,601771,147,江西,公办,否,否
2025,上饶幼儿师范高等专科学校,T312,综合,普通类二段,中外合作办学,,,2,315,577098,165,江西,公办,否,否
2025,上饶职业技术学院,D870,综合,普通类二段,普通类,,,40,342,534085,192,江西,公办,否,否
2025,东北农业大学,A224,综合,普通类一段,普通类,,,224,519,143184,78,黑龙江,公办,否,是
2025,东北大学,A145,综合,普通类一段,普通类,,,202,602,23663,161,辽宁,公办,是,是
2025,东北大学,A145,综合,普通类一段,中外合作办学,,,15,593,30395,152,辽宁,公办,是,是
2025,东北大学,A145,综合,特殊类型批,高校专项计划,,,,588,34716,,辽宁,公办,是,是
2025,东北大学秦皇岛分校,H145,综合,普通类一段,普通类,,,149,593,30395,152,河北,公办,是,是
2025,东北大学秦皇岛分校,H145,综合,普通类一段,中外合作办学,,,40,585,37499,144,河北,公办,是,是
2025,东北师范大学,A200,综合,普通类一段,普通类,,,46,582,40556,141,吉林,公办,否,是
2025,东北师范大学,A200,综合,提前批B类,国家公费师范生,,,,617,14643,,吉林,公办,否,是
2025,东北师范大学,A200,综合,普通类一段,中外合作办学,,,29,558,70316,117,吉林,公办,否,是
2025,东北林业大学,A225,综合,普通类一段,普通类,,,343,564,61734,123,黑龙江,公办,否,是
2025,东北林业大学,A225,综合,特殊类型批,高校专项计划,,,,565,60437,,黑龙江,公办,否,是
2025,东北林业大学,A225,综合,普通类一段,中外合作办学,,,60,527,126019,86,黑龙江,公办,否,是
2025,东北电力大学,A188,综合,普通类一段,普通类,,,233,510,163637,69,吉林,公办,否,否
2025,东北电力大学,A188,综合,普通类一段,中外合作办学,,,25,489,214157,48,吉林,公办,否,否
2025,东北石油大学,A220,综合,普通类一段,普通类,,,201,509,165966,68,黑龙江,公办,否,否
2025,东北石油大学,A220,综合,普通类一段,中外合作办学,,,20,510,163637,69,黑龙江,公办,否,否
2025,东北财经大学,A173,综合,普通类一段,普通类,,,55,565,60437,124,辽宁,公办,否,否
2025,东北财经大学,A173,综合,普通类一段,中外合作办学,,,47,537,106077,96,辽宁,公办,否,否
2025,东华大学,A255,综合,普通类一段,普通类,,,100,595,28704,154,上海,公办,否,是
2025,东华理工大学,A405,综合,普通类一段,普通类,,,279,486,221738,45,江西,公办,否,否
2025,东华理工大学,A405,综合,普通类一段,中外合作办学,,,11,508,168249,67,江西,公办,否,否
2025,东华理工大学,A405,综合,普通类二段,中外高水平大学学生交流计划（本科专业）,,,3,459,289205,309,江西,公办,否,否
2025,东华理工大学,A405,综合,普通类一段,联合培养,,,21,446,321717,5,江西,公办,否,否
2025,东南大学,A286,综合,普通类一段,普通类,,,144,642,5401,201,江苏,公办,是,是
2025,东南大学成贤学院,C689,综合,普通类一段,普通类,,,25,457,294840,16,江苏,民办,否,否
2025,东南大学成贤学院,C689,综合,普通类一段,护理类,,,1,489,214157,48,江苏,民办,否,否
2025,东莞城市学院,D844,综合,普通类一段,普通类,,,4,477,244345,36,广东,民办,否,否
2025,东莞城市学院,D844,综合,普通类二段,本科专业,,,2,430,358205,280,广东,民办,否,否
2025,东莞理工学院,B819,综合,普通类一段,普通类,,,15,514,154449,73,广东,公办,否,否
2025,东营科技职业学院,D007,综合,普通类二段,普通类,,,2449,319,572328,169,山东,公办,否,否
2025,东营科技职业学院,D007,综合,普通类二段,高职3+2贯通培养,,,30,472,256659,322,山东,公办,否,否
2025,东营科技职业学院,D007,综合,普通类二段,中外合作办学,,,101,313,580645,163,山东,公办,否,否
2025,东营职业学院,C440,综合,普通类二段,普通类,,,3401,324,564706,174,山东,公办,否,否
2025,东营职业学院,C440,综合,普通类二段,高职3+2贯通培养,,,260,468,266771,318,山东,公办,否,否
2025,东营职业学院,C440,综合,普通类二段,中外合作办学,,,260,283,618266,133,山东,公办,否,否
2025,东营职业学院,C440,综合,普通类二段,高职院校专项计划,,,43,200,673372,50,山东,公办,否,否
2025,中北大学,A110,综合,普通类一段,普通类,,,363,518,145334,77,山西,公办,否,否
2025,中华女子学院,B149,综合,普通类一段,普通类,,,52,525,130254,84,北京,公办,否,否
2025,中南大学,A533,综合,普通类一段,普通类,,,323,612,17358,171,湖南,公办,是,是
2025,中南大学,A533,综合,普通类一段,中外合作办学,,,14,585,37499,144,湖南,公办,是,是
2025,中南林业科技大学,A538,综合,普通类一段,普通类,,,152,490,211746,49,湖南,公办,否,否
2025,中南林业科技大学,A538,综合,普通类一段,中外合作办学,,,5,480,236776,39,湖南,公办,否,否
2025,中南林业科技大学涉外学院,C656,综合,普通类一段,普通类,,,10,466,272163,25,湖南,民办,否,否
2025,中南民族大学,A524,综合,普通类一段,普通类,,,120,519,143184,78,湖北,公办,否,否
2025,中南民族大学,A524,综合,普通类二段,本科专业,,,1,564,60944,414,湖北,公办,否,否
2025,中南财经政法大学,A520,综合,普通类一段,普通类,,,177,598,26492,157,湖北,公办,否,是
2025,中南财经政法大学,A520,综合,特殊类型批,高校专项计划,,,,579,43708,,湖北,公办,否,是
2025,中南财经政法大学,A520,综合,普通类一段,中外合作办学,,,10,570,54127,129,湖北,公办,否,是
2025,中南财经政法大学,A520,综合,提前批A类,男生,,,,535,109814,,湖北,公办,否,是
2025,中原工学院,A465,综合,普通类一段,普通类,,,73,471,259418,30,河南,公办,否,否
2025,中原工学院,A465,综合,普通类一段,中外合作办学,,,24,466,272163,25,河南,公办,否,否
2025,中国人民公安大学,A041,综合,提前批A类,"公安专业,女",,,,652,3219,,北京,公办,否,否
2025,中国人民公安大学,A041,综合,提前批A类,"公安专业,男",,,,613,16797,,北京,公办,否,否
2025,中国人民大学,A002,综合,普通类一段,普通类,,,63,665,1361,224,北京,公办,是,是
2025,中国人民大学,A002,综合,普通类一段,联合培养,,,10,666,1262,225,北京,公办,是,是
2025,中国人民大学（苏州校区）,A002,综合,普通类一段,普通类,,,3,664,1485,223,江苏,公办,是,是
2025,中国人民大学（苏州校区）,A002,综合,普通类一段,中外合作办学,,,20,631,8601,190,江苏,公办,是,是
2025,中国人民解放军国防科技大学,P002,综合,普通类一段,普通类,,,60,640,5901,199,湖南,公办,是,是
2025,中国人民解放军国防科技大学,P002,综合,提前批A类,普通类,,,,623,11839,,湖南,公办,是,是
2025,中国人民解放军海军大连舰艇学院,P014,综合,提前批A类,普通类,,,,586,36510,,辽宁,公办,否,否
2025,中国人民解放军海军潜艇学院,P015,综合,提前批A类,通用标准合格（女生）,,,,610,18530,,山东,公办,否,否
2025,中国人民解放军海军潜艇学院,P015,综合,提前批A类,潜艇岗位合格（男生）,,,,580,42645,,山东,公办,否,否
2025,中国人民解放军海军潜艇学院,P015,综合,提前批A类,通用标准合格（男生）,,,,579,43708,,山东,公办,否,否
2025,中国人民解放军海军潜艇学院,P015,综合,提前批A类,潜水岗位合格（男生）,,,,565,60437,,山东,公办,否,否
2025,中国人民解放军空军军医大学,P027,综合,普通类一段,普通类,,,30,594,29549,153,陕西,公办,否,是
2025,中国人民解放军空军军医大学,P027,综合,普通类一段,护理类,,,2,576,46983,135,陕西,公办,否,是
2025,中国人民解放军陆军军医大学,P011,综合,提前批A类,"生长军官,女生",,,,604,22343,,重庆,公办,否,否
2025,中国人民解放军陆军军医大学,P011,综合,提前批A类,"生长军官,男生",,,,569,55342,,重庆,公办,否,否
2025,中国人民警察大学,B105,综合,普通类一段,普通类,,,46,536,107938,95,河北,公办,否,否
2025,中国传媒大学,A033,综合,普通类一段,普通类,,,82,593,30395,152,北京,公办,否,是
2025,中国传媒大学,A033,综合,普通类一段,中外合作办学,,,17,575,48195,134,北京,公办,否,是
2025,中国农业大学,A019,综合,普通类一段,普通类,,,574,577,45839,136,北京,公办,是,是
2025,中国农业大学,A019,综合,普通类一段,中外合作办学,,,15,593,30395,152,北京,公办,是,是
2025,中国农业大学,A019,综合,普通类二段,本科专业,,,1,581,41446,431,北京,公办,是,是
2025,中国刑事警察学院,A175,综合,提前批A类,女生,,,14,625,11058,,辽宁,公办,否,否
2025,中国刑事警察学院,A175,综合,提前批A类,男生,,,79,567,57862,,辽宁,公办,否,否
2025,中国劳动关系学院,C453,综合,普通类一段,普通类,,,81,530,119781,89,北京,公办,否,否
2025,中国医科大学,A159,综合,普通类一段,普通类,,,36,564,61734,123,辽宁,公办,否,否
2025,中国医科大学,A159,综合,普通类一段,中外合作办学,,,12,538,104154,97,辽宁,公办,否,否
2025,中国地质大学（北京）,B415,综合,普通类一段,普通类,,,129,585,37499,144,北京,公办,否,是
2025,中国地质大学（武汉）,A491,综合,普通类一段,普通类,,,190,577,45839,136,湖北,公办,否,是
2025,中国地质大学（武汉）,A491,综合,特殊类型批,高校专项计划,,,,577,45839,,湖北,公办,否,是
2025,中国地质大学（武汉）,A491,综合,普通类一段,中外合作办学,,,21,567,57862,126,湖北,公办,否,是
2025,中国戏曲学院,A049,综合,普通类一段,普通类,,,4,557,71861,116,北京,公办,否,否
2025,中国政法大学,A053,综合,普通类一段,普通类,,,94,611,17940,170,北京,公办,否,是
2025,中国政法大学,A053,综合,普通类一段,联合培养,,,8,632,8259,191,北京,公办,否,是
2025,中国民用航空飞行学院,A624,综合,普通类一段,普通类,,,104,526,128088,85,四川,公办,否,否
2025,中国民用航空飞行学院,A624,综合,普通类二段,普通类,,,8,464,275842,314,四川,公办,否,否
2025,中国民航大学,A059,综合,普通类一段,普通类,,,,578,44745,137,天津,公办,否,否
2025,中国民航大学,A059,综合,提前批A类,普通类,,,,538,104154,,天津,公办,否,否
2025,中国民航大学,A059,综合,普通类一段,中外合作办学,,,,599,25787,158,天津,公办,否,否
2025,中国海洋大学,A423,综合,普通类一段,普通类,,,707,602,23663,161,山东,公办,是,是
2025,中国海洋大学,A423,综合,提前批B类,普通类,,,,600,25061,,山东,公办,是,是
2025,中国海洋大学,A423,综合,特殊类型批,高校专项计划,,,,604,22343,,山东,公办,是,是
2025,中国海洋大学,A423,综合,普通类一段,中外合作办学,,,293,582,40556,141,山东,公办,是,是
2025,中国消防救援学院,A039,综合,提前批A类,普通类,,,,549,84598,,北京,公办,否,否
2025,中国石油大学（北京）,B414,综合,普通类一段,普通类,,,132,593,30395,152,北京,公办,否,是
2025,中国石油大学（北京）克拉玛依校区,H414,综合,普通类一段,普通类,,,219,567,57862,126,新疆,公办,否,是
2025,中国石油大学（北京）克拉玛依校区,H414,综合,特殊类型批,高校专项计划,,,,560,67397,,新疆,公办,否,是
2025,中国石油大学（华东）,A425,综合,普通类一段,普通类,,,1075,593,30395,152,山东,公办,否,是
2025,中国石油大学（华东）,A425,综合,特殊类型批,高校专项计划,,,,584,38477,,山东,公办,否,是
2025,中国矿业大学,A290,综合,普通类一段,普通类,,,493,590,32966,149,江苏,公办,否,是
2025,中国矿业大学,A290,综合,普通类一段,中外合作办学,,,20,557,71861,116,江苏,公办,否,是
2025,中国矿业大学徐海学院,D579,综合,普通类一段,普通类,,,48,460,287421,19,江苏,民办,否,否
2025,中国矿业大学（北京）,B413,综合,普通类一段,普通类,,,156,582,40556,141,北京,公办,否,是
2025,中国矿业大学（北京）,B413,综合,普通类一段,联合培养,,,4,576,46983,135,北京,公办,否,是
2025,中国矿业大学（北京）,B413,综合,特殊类型批,高校专项计划,,,,570,54127,,北京,公办,否,是
2025,中国社会科学院大学,E596,综合,普通类一段,普通类,,,32,614,16247,173,北京,公办,否,否
2025,中国科学技术大学,A358,综合,普通类一段,普通类,,,45,672,730,231,安徽,公办,是,是
2025,中国科学院大学,E430,综合,普通类一段,普通类,,,27,677,442,236,北京,公办,否,否
2025,中国美术学院,A355,综合,普通类一段,普通类,,,10,568,56598,127,浙江,公办,否,否
2025,中国药科大学,A316,综合,普通类一段,普通类,,,102,589,33835,148,江苏,公办,否,是
2025,中国药科大学,A316,综合,普通类一段,中外合作办学,,,12,578,44745,137,江苏,公办,否,是
2025,中国计量大学,A356,综合,普通类一段,普通类,,,108,567,57862,126,浙江,公办,否,否
2025,中国计量大学现代科技学院,D292,综合,普通类一段,普通类,,,2,494,201791,53,浙江,民办,否,否
2025,中央司法警官学院,B903,综合,提前批A类,警察类专业（女）,,,,544,93253,,河北,公办,否,否
2025,中央司法警官学院,B903,综合,提前批A类,警察类专业（男）,,,,502,182602,,河北,公办,否,否
2025,中央司法警官学院,B903,综合,提前批A类,非警察类专业（女）,,,,459,289884,,河北,公办,否,否
2025,中央司法警官学院,B903,综合,提前批A类,非警察类专业（男）,,,,417,388099,,河北,公办,否,否
2025,中央戏剧学院,A048,综合,普通类一段,普通类,,,12,573,50515,132,北京,公办,否,否
2025,中央民族大学,A052,综合,普通类一段,普通类,,,194,601,24363,160,北京,公办,是,是
2025,中央民族大学,A052,综合,普通类一段,中外合作办学,,,9,580,42645,139,北京,公办,是,是
2025,中央美术学院,A047,综合,普通类一段,普通类,,,13,582,40556,141,北京,公办,否,否
2025,中央美术学院,A047,综合,普通类一段,中外合作办学,,,6,562,64571,121,北京,公办,否,否
2025,中央财经大学,A034,综合,普通类一段,普通类,,,89,608,19752,167,北京,公办,否,是
2025,中央财经大学,A034,综合,普通类一段,中外合作办学,,,8,613,16797,172,北京,公办,否,是
2025,中央财经大学,A034,综合,特殊类型批,高校专项计划,,,,570,54127,,北京,公办,否,是
2025,中山大学,A558,综合,普通类一段,普通类,,,181,635,7293,194,广东,公办,是,是
2025,临汾职业技术学院,D171,综合,普通类二段,普通类,,,3,429,361017,279,山西,公办,否,否
2025,临沂城市职业学院,E927,综合,普通类二段,普通类,,,1200,256,643416,106,山东,民办,否,否
2025,临沂大学,A452,综合,普通类一段,普通类,,,5211,483,229171,42,山东,公办,否,否
2025,临沂大学,A452,综合,普通类二段,普通类,,,3610,414,393739,264,山东,公办,否,否
2025,临沂大学,A452,综合,提前批B类,省属公费师范生,,,,572,51672,,山东,公办,否,否
2025,临沂大学,A452,综合,普通类一段,护理类,,,75,527,126019,86,山东,公办,否,否
2025,临沂大学,A452,综合,普通类一段,中外合作办学,,,376,446,321717,5,山东,公办,否,否
2025,临沂科技职业学院,E708,综合,普通类二段,普通类,,,1812,335,546049,185,山东,公办,否,否
2025,临沂科技职业学院,E708,综合,普通类二段,高职3+2贯通培养,,,190,470,261767,320,山东,公办,否,否
2025,临沂职业学院,E195,综合,普通类二段,普通类,,,1984,317,575081,167,山东,公办,否,否
2025,临沂职业学院,E195,综合,普通类二段,高职3+2贯通培养,,,280,467,268891,317,山东,公办,否,否
2025,临沂职业学院,E195,综合,普通类二段,高职技师合作培养,,,40,375,472808,225,山东,公办,否,否
2025,临沂职业学院,E195,综合,普通类二段,中外合作办学,,,100,296,602920,146,山东,公办,否,否
2025,丽水学院,A352,综合,普通类一段,普通类,,,12,513,156817,72,浙江,公办,否,否
2025,丽水学院,A352,综合,普通类一段,护理类,,,5,502,182602,61,浙江,公办,否,否
2025,丽江师范学院,E015,综合,普通类二段,普通类,,,8,448,316793,298,云南,公办,否,否
2025,丽江文化旅游学院,D328,综合,普通类一段,普通类,,,10,442,331240,1,云南,民办,否,否
2025,乌鲁木齐职业大学,B565,综合,普通类一段,普通类,,,10,474,251794,33,新疆,公办,否,否
2025,乌鲁木齐职业大学,B565,综合,普通类二段,普通类,,,100,274,627410,124,新疆,公办,否,否
2025,乌鲁木齐职业技术学院,E876,综合,普通类二段,普通类,,,20,272,629591,122,新疆,公办,否,否
2025,乐山师范学院,A649,综合,普通类一段,普通类,,,6,478,241814,37,四川,公办,否,否
2025,九州职业技术学院,C054,综合,普通类二段,普通类,,,89,243,653300,93,江苏,民办,否,否
