院校名称,所在省,主管部门,院校层次,2025招生章程,院校主页链接,logo地址
北京师范大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-24.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-24.dhtml,https://t1.chei.com.cn/common/xh/10027.jpg
首都师范大学,北京,北京市教育委员会,本科|“双一流”建设高校,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656034384,method-view,schId-25.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-25.dhtml,https://t1.chei.com.cn/common/xh/10028.jpg
首都体育学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6653188536,method-view,schId-26.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-26.dhtml,https://t1.chei.com.cn/common/xh/10029.jpg
北京外国语大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-27.dhtml,https://t1.chei.com.cn/common/xh/10030.jpg
北京第二外国语学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6653997982,method-view,schId-28.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-28.dhtml,https://t1.chei.com.cn/common/xh/10031.jpg
北京语言大学,北京,教育部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-29.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-29.dhtml,https://t1.chei.com.cn/common/xh/10032.jpg
中国传媒大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-30.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-30.dhtml,https://t1.chei.com.cn/common/xh/10033.jpg
中央财经大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-31.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-31.dhtml,https://t1.chei.com.cn/common/xh/10034.jpg
对外经济贸易大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-32.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-32.dhtml,https://t1.chei.com.cn/common/xh/10036.jpg
北京物资学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6694892924,method-view,schId-33.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-33.dhtml,https://t1.chei.com.cn/common/xh/10037.jpg
首都经济贸易大学,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657177840,method-view,schId-34.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-34.dhtml,https://t1.chei.com.cn/common/xh/10038.jpg
中国消防救援学院,北京,应急管理部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2347709988.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-2347709988.dhtml,https://t1.chei.com.cn/common/xh/10039.jpg
外交学院,北京,外交部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-35.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-35.dhtml,https://t1.chei.com.cn/common/xh/10040.jpg
中国人民公安大学,北京,公安部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-36.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-36.dhtml,https://t1.chei.com.cn/common/xh/10041.jpg
国际关系学院,北京,教育部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-37.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-37.dhtml,https://t1.chei.com.cn/common/xh/10042.jpg
北京体育大学,北京,国家体育总局,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-38.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-38.dhtml,https://t1.chei.com.cn/common/xh/10043.jpg
中央音乐学院,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-39.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-39.dhtml,https://t1.chei.com.cn/common/xh/10045.jpg
中国音乐学院,北京,北京市教育委员会,本科|“双一流”建设高校,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6659218838,method-view,schId-40.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-40.dhtml,https://t1.chei.com.cn/common/xh/10046.jpg
中央美术学院,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-41.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-41.dhtml,https://t1.chei.com.cn/common/xh/10047.jpg
中央戏剧学院,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-42.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-42.dhtml,https://t1.chei.com.cn/common/xh/10048.jpg
中国戏曲学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657859564,method-view,schId-43.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-43.dhtml,https://t1.chei.com.cn/common/xh/10049.jpg
北京电影学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6646705146,method-view,schId-44.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-44.dhtml,https://t1.chei.com.cn/common/xh/10050.jpg
北京舞蹈学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6660196568,method-view,schId-45.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-45.dhtml,https://t1.chei.com.cn/common/xh/10051.jpg
中央民族大学,北京,国家民族事务委员会,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-46.dhtml,https://t1.chei.com.cn/common/xh/10052.jpg
中国政法大学,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-47.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-47.dhtml,https://t1.chei.com.cn/common/xh/10053.jpg
华北电力大学(北京),北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-91460.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-91460.dhtml,https://t1.chei.com.cn/common/xh/10054.jpg
北京工业职业技术学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6653350723,method-view,schId-638.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-638.dhtml,https://t1.chei.com.cn/common/xh/10853.jpg
北京信息职业技术学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6659206156,method-view,schId-640.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-640.dhtml,https://t1.chei.com.cn/common/xh/10857.jpg
北京科技职业大学,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656089090,method-view,schId-641.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-641.dhtml,https://t1.chei.com.cn/common/xh/10858.jpg
北京京北职业技术学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6654189690,method-view,schId-725.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-725.dhtml,https://t1.chei.com.cn/common/xh/11090.jpg
中华女子学院,北京,中华全国妇女联合会,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-740.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-740.dhtml,https://t1.chei.com.cn/common/xh/11149.jpg
北京信息科技大学,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656074024,method-view,schId-742.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-742.dhtml,https://t1.chei.com.cn/common/xh/11232.jpg
中国矿业大学(北京),北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27213.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-27213.dhtml,https://t1.chei.com.cn/common/xh/11413.jpg
中国石油大学(北京),北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-798.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-798.dhtml,https://t1.chei.com.cn/common/xh/11414.jpg
中国地质大学(北京),北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27214.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-27214.dhtml,https://t1.chei.com.cn/common/xh/11415.jpg
