学历类型,学科一类,学科二类,学科三类,就业概况-名次,就业概况-名次-描述,就业最多地区,就业最多行业,就业行业分布,就业行业分布比例,就业地区分布,就业地区分布比例,工资情况,工资比例,经验情况,经验比例,学历要求,学历比例,就业方向,从事岗位,平均工资,工作年限,工作年限工资
本科,工学,兵器类,弹药工程与爆炸技术,,,,,,,,,"[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""8000-9999 ""]","[30%,25%,15%,14%,14%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[40%,22%,20%,8%,7%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""中专 ""]","[36%,32%,26%,2%,1%]",,"[""信息安全工程师"",""渗透测试工程师"",""抗震支架销售经理 机电工程销售经理"",""射频集成研发"",""网络安全工程师""]",,"[""应届生"",""1-3年"",""3-5年"",""5-10年""]","[3900,4830,7080,12500]"
本科,工学,兵器类,特种能源技术与工程,第 161 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第161,广州,电气/电气/电力/水利,"[""电气/电气/电力/水利"",""计算机服务(系统、数据服务、维修)"",""仪器仪表/工业自动化"",""多元化业务集团公司"",""快速消费品(食品、饮料、化妆品)"",""机械/设备/重工""]","[40%,20%,10%,10%,10%,10%]","[""广州"",""上海"",""南通""]","[66%,16%,16%]","[""面议 "",""6000-7999 "",""4500-5999 "",""8000-9999 "",""10000-14999 ""]","[27%,25%,16%,15%,15%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[40%,22%,20%,8%,8%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""中专 ""]","[37%,32%,26%,2%,1%]",,"[""信息安全工程师"",""渗透测试工程师"",""抗震支架销售经理 机电工程销售经理"",""射频集成研发"",""网络安全工程师""]",,"[""应届生"",""1-3年"",""3-5年"",""5-10年""]","[3900,4830,7080,12500]"
本科,工学,土木类,土木工程,第 6 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第6,上海,建筑/建材/工程,"[""建筑/建材/工程"",""房地产"",""家居/室内设计/装潢"",""广告"",""其他行业"",""环保"",""专业服务(咨询、人力资源、财会)"",""新能源"",""金融/投资/证券"",""多元化业务集团公司""]","[41%,29%,7%,6%,3%,2%,2%,2%,1%,1%]","[""上海"",""广州"",""深圳"",""北京"",""成都"",""武汉"",""杭州"",""重庆"",""南京"",""西安""]","[18%,13%,13%,12%,9%,8%,8%,5%,5%,4%]","[""6000-7999 "",""10000-14999 "",""8000-9999 "",""3000-4499 "",""4500-5999 ""]","[27%,25%,21%,15%,12%]","[""3-5年 "",""不限经验 "",""5-10年 "",""1-3年 "",""10年以上 ""]","[28%,27%,19%,17%,7%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""中专 ""]","[44%,30%,22%,2%,0%]",,"[""施工员"",""建筑设计师"",""预算员"",""室内设计师"",""土建工程师"",""项目经理"",""结构设计师"",""造价工程师"",""土建施工员"",""施工图设计师"",""电气工程师"",""造价员"",""土建预算员"",""结构工程师"",""土建造价工程师"",""成本经理"",""景观设计师"",""电气设计师"",""安装预算员"",""工程预算员"",""安装造价工程师"",""预结算员"",""资料员"",""机电工程师"",""给排水工程师"",""景观施工图设计师"",""建筑施工图设计师"",""暖通工程师"",""给排水设计师"",""空间设计师"",""水电工程师"",""工程项目经理"",""施工图深化设计师"",""设计师"",""暖通设计师"",""工程经理"",""安装工程师"",""建筑师"",""工程部经理"",""安装造价师""]",6340,"[""应届生"",""1-3年"",""3-5年"",""5-10年"",""10年以上""]","[5020,6110,8760,12880,18360]"
本科,工学,土木类,给排水科学与工程,第 72 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第72,上海,建筑/建材/工程,"[""建筑/建材/工程"",""环保"",""房地产"",""专业服务(咨询、人力资源、财会)"",""新能源"",""其他行业"",""机械/设备/重工"",""广告"",""物业管理/商业中心"",""学术/科研""]","[31%,20%,18%,6%,5%,5%,4%,3%,2%,2%]","[""上海"",""广州"",""深圳"",""北京"",""武汉"",""成都"",""南京"",""杭州"",""西安"",""长沙""]","[18%,14%,13%,10%,9%,8%,6%,6%,6%,4%]","[""面议 "",""6000-7999 "",""8000-9999 "",""10000-14999 "",""4500-5999 ""]","[27%,24%,16%,15%,15%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[39%,22%,20%,8%,8%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""中专 ""]","[38%,31%,25%,1%,1%]",,"[""工程技术方向"",""给排水工程师"",""污水处理工程师"",""给排水设计师"",""水处理工程师"",""安装工程师"",""给排水科学与工程"",""环保工程师"",""施工员"",""水电工程师"",""安装造价工程师"",""机电工程师"",""给排水工程岗"",""销售工程师"",""建筑 市政 园林设计岗位"",""暖通工程师"",""工程管理"",""工艺工程师"",""预算员"",""废水工艺主管"",""水处理专业工程师"",""环境工程师"",""区域副总监"",""总工程师"",""水暖工程师"",""水电安装工程师"",""港航工程与工程管理"",""项目经理""]",,"[""应届生"",""1-3年"",""3-5年"",""5-10年"",""10年以上""]","[5020,6110,8760,12880,18360]"
本科,工学,土木类,建筑电气与智能化,第 70 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第70,上海,建筑/建材/工程,"[""建筑/建材/工程"",""房地产"",""物业管理/商业中心"",""计算机服务(系统、数据服务、维修)"",""新能源"",""计算机软件"",""电子技术/半导体/集成电路"",""通信/电信/网络设备"",""其他行业"",""专业服务(咨询、人力资源、财会)""]","[38%,25%,6%,5%,5%,4%,4%,3%,3%,2%]","[""上海"",""深圳"",""北京"",""南京"",""广州"",""杭州"",""武汉"",""西安"",""成都"",""厦门""]","[21%,13%,13%,9%,9%,8%,7%,6%,5%,4%]","[""6000-7999 "",""面议 "",""8000-9999 "",""10000-14999 "",""4500-5999 ""]","[27%,24%,16%,15%,15%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[40%,22%,19%,8%,8%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""中专 ""]","[37%,32%,25%,2%,2%]",,"[""电气工程师"",""项目经理"",""机电工程师"",""电气设计师"",""智能化项目专员"",""弱电工程师"",""安装工程师"",""智能化设计师"",""弱电项目经理"",""机电设计经理"",""电气施工员"",""安装造价工程师"",""智能化工程师"",""智能化项目经理"",""机电设计师"",""水电工程师"",""弱电设计工程师"",""工程经理"",""弱电设计师"",""慧云工程师"",""电气工程岗"",""安装工程经理"",""实习生"",""工程项目经理"",""建筑电气设计师"",""弱电智能化工程师"",""慧云助理工程师"",""技术支持工程师"",""智能化设计"",""电气 给排水施工员"",""造价员"",""工程部经理"",""智能化设计工程师"",""注册电气工程师"",""现场工程师"",""电气设计"",""资深弱电设计工程师"",""资深机电工程师"",""售前技术支持工程师"",""安装造价师""]",4670,"[""应届生"",""1-3年"",""3-5年""]","[2500,6750,1500]"
本科,工学,土木类,城市地下空间工程,第 108 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第108,广州,建筑/建材/工程,"[""建筑/建材/工程"",""房地产"",""广告"",""环保"",""其他行业"",""学术/科研"",""新能源"",""机械/设备/重工"",""计算机软件"",""互联网/电子商务""]","[45%,28%,7%,5%,4%,3%,2%,1%,1%,1%]","[""广州"",""武汉"",""深圳"",""上海"",""西安"",""北京"",""青岛"",""杭州"",""廊坊"",""成都""]","[24%,13%,13%,12%,9%,8%,6%,5%,2%,2%]","[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""20000-29999 ""]","[34%,23%,18%,13%,9%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[38%,23%,22%,10%,4%]","[""本科 "",""大专 "",""不限学历 "",""中专 "",""中技 ""]","[33%,31%,30%,2%,1%]",,"[""结构工程师"",""城市地下空间工程"",""结构设计师"",""通风空调工程师""]",10190,"[""应届生"",""3-5年"",""5-10年""]","[7500,11500,11500]"
本科,工学,土木类,道路桥梁与渡河工程,第 49 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第49,广州,建筑/建材/工程,"[""建筑/建材/工程"",""房地产"",""其他行业"",""广告"",""专业服务(咨询、人力资源、财会)"",""金融/投资/证券"",""学术/科研"",""交通/运输/物流"",""环保"",""计算机软件""]","[47%,23%,7%,4%,4%,3%,3%,2%,2%,1%]","[""广州"",""武汉"",""成都"",""上海"",""北京"",""南京"",""深圳"",""杭州"",""重庆"",""西安""]","[15%,13%,11%,10%,9%,9%,9%,7%,6%,5%]","[""8000-9999 "",""3000-4499 "",""30000-49999 "",""面议 "",""10000-14999 ""]","[30%,20%,20%,20%,10%]","[""1-3年 "",""10年以上 "",""不限经验 "",""5-10年 "",""3-5年 ""]","[25%,25%,25%,16%,8%]","[""不限学历 "",""本科 "",""大专 "",""硕士 "",""中专 ""]","[41%,25%,16%,8%,8%]",,"[""土木管培生"",""施工员"",""桥梁工程师"",""项目经理"",""桥梁设计师"",""技术员"",""市政工程师"",""建造师"",""测量员"",""道路设计师"",""销售合伙人"",""航空工业勘察院2020年校园招聘"",""资料员"",""销售代表"",""路桥工程师"",""二级建造师"",""市政道路设计"",""一级建造师"",""实习生"",""客户经理"",""道路桥梁设计师"",""造价工程师"",""工程技术人员"",""路桥隧洞工程师"",""专业监理工程师"",""市政施工员"",""安全员"",""市政道路设计师"",""试验检测员"",""应届毕业生"",""市政项目经理"",""造价员 预算员 经营管理人员"",""道桥设计师"",""桥梁设计"",""测量工程师"",""技术负责人"",""监理员"",""监理工程师"",""项目总工"",""bim工程师""]",,"[""应届生"",""3-5年"",""5-10年""]","[7500,11500,11500]"
本科,工学,土木类,建筑环境与能源应用工程,第 97 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第97,深圳,建筑/建材/工程,"[""建筑/建材/工程"",""房地产"",""新能源"",""其他行业"",""机械/设备/重工"",""专业服务(咨询、人力资源、财会)"",""广告"",""环保"",""计算机软件"",""学术/科研""]","[36%,17%,12%,7%,5%,5%,4%,4%,4%,3%]","[""深圳"",""上海"",""北京"",""武汉"",""成都"",""广州"",""郑州"",""西安"",""青岛"",""厦门""]","[17%,16%,15%,12%,8%,8%,6%,5%,5%,4%]","[""面议 "",""6000-7999 "",""4500-5999 "",""8000-9999 "",""10000-14999 ""]","[27%,25%,16%,15%,14%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""应届毕业生 ""]","[41%,21%,20%,8%,8%]","[""本科 "",""大专 "",""不限学历 "",""初中 "",""中专 ""]","[37%,32%,26%,2%,1%]",,"[""暖通工程师"",""暖通设计师"",""暖通工程岗"",""应届毕业生"",""暖通专业总工"",""暖通空调工程师""]",4760,"[""应届生"",""1-3年""]","[6080,7500]"
本科,工学,土木类,铁道工程,第 93 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第93,北京,建筑/建材/工程,"[""建筑/建材/工程"",""房地产"",""交通/运输/物流"",""学术/科研"",""广告"",""仪器仪表/工业自动化"",""贸易/进出口"",""专业服务(咨询、人力资源、财会)"",""机械/设备/重工"",""新能源""]","[30%,16%,9%,9%,8%,6%,5%,5%,3%,3%]","[""北京"",""长沙"",""广州"",""上海"",""武汉"",""深圳"",""西安"",""成都"",""杭州"",""南京""]","[20%,13%,11%,9%,9%,9%,7%,7%,5%,4%]","[""面议 "",""6000-7999 "",""4500-5999 "",""10000-14999 "",""8000-9999 ""]","[33%,23%,18%,14%,10%]","[""不限经验 "",""1-3年 "",""3-5年 "",""5-10年 "",""10年以上 ""]","[35%,23%,23%,11%,4%]","[""本科 "",""大专 "",""不限学历 "",""中专 "",""中技 ""]","[35%,31%,28%,2%,1%]",,"[""工程部技术员"",""线路设计人"",""技术工程师"",""总工程师 副总工程师"",""销售工程师"",""营销经理"",""销售经理 产品经理""]",7100,"[""应届生"",""1-3年"",""3-5年"",""5-10年""]","[4740,8000,10400,15170]"
本科,工学,环境科学与工程类,环境工程,第 19 名 (工学),所有专业1123个，工学类共170个本科专业，在“工学”中就业排名第19,上海,环保,"[""环保"",""建筑/建材/工程"",""新能源"",""房地产"",""机械/设备/重工"",""石油/化工/矿产/地质"",""检测，认证"",""专业服务(咨询、人力资源、财会)"",""仪器仪表/工业自动化"",""其他行业""]","[47%,14%,11%,6%,4%,4%,3%,3%,2%,2%]","[""上海"",""广州"",""北京"",""深圳"",""杭州"",""武汉"",""南京"",""成都"",""苏州"",""东莞""]","[19%,12%,12%,9%,9%,9%,8%,7%,6%,5%]","[""10000-14999 "",""8000-9999 "",""6000-7999 "",""30000-49999 "",""20000-29999 ""]","[46%,15%,15%,15%,7%]","[""不限经验 "",""3-5年 "",""1-3年 "",""应届毕业生 ""]","[46%,30%,15%,7%]","[""不限学历 "",""大专 "",""本科 ""]","[53%,30%,15%]",本专业学生毕业后可在政府部门、规划部门、经济管理部门、环保部门、设计单位、工矿企业、科研单位、学校等从事规划、设计、施工、管理、教育和研究开发方面工作,"[""环保工程师"",""水处理工程师"",""给排水工程师"",""给排水设计师"",""污水处理工程师"",""销售经理"",""环境工程师"",""销售工程师"",""项目经理"",""工艺工程师"",""ehs工程师"",""环评工程师"",""销售代表"",""研发工程师"",""化验员"",""废气处理工程师"",""安全工程师"",""工程项目经理"",""技术工程师"",""环保专员"",""水处理工艺工程师"",""区域销售经理"",""环保技术员"",""工艺设计工程师"",""调试工程师"",""土壤修复工程师"",""安全评价师"",""ehs专员"",""环境工程"",""安全员"",""应届毕业生"",""环评技术员"",""环保技术工程师"",""环境影响评价师"",""技术支持工程师"",""采样员"",""水处理技术员"",""给排水设计"",""给排水设计工程师"",""技术员""]",7010,"[""应届生"",""1-3年"",""3-5年"",""5-10年"",""10年以上""]","[5420,6560,7910,10870,12690]"
