排名,高校名称,高校英文名称,高校等级,所在省份,高校类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,高端人才,重大项目与成果,国际竞争力
362,湖南第一师范学院,Hunan First Normal University,,湖南,师范,130,,,,,,,,,,
363,合肥师范学院,Hefei Normal University,,安徽,师范,129.8,,,,,,,,,,
364,广东石油化工学院,Guangdong University of Petrochemical Technology,,广东,综合,129.6,,,,,,,,,,
365,安徽科技学院,Anhui Science and Technology University,,安徽,师范,128.9,,,,,,,,,,
365,绵阳师范学院,Mianyang Teachers' College,,四川,师范,128.9,,,,,,,,,,
367,衢州学院,Quzhou University,,浙江,理工,128.8,,,,,,,,,,
368,贵阳学院,Guiyang University,,贵州,综合,128.6,,,,,,,,,,
369,惠州学院,Huizhou University,,广东,综合,128.5,,,,,,,,,,
370,三明学院,Sanming University,,福建,综合,128.4,,,,,,,,,,
371,齐齐哈尔大学,Qiqihar University,,黑龙江,综合,128,,,,,,,,,,
372,重庆三峡学院,Chongqing Three Gorges University,,重庆,综合,127.9,,,,,,,,,,
373,长春工程学院,Changchun Institute of Technology,,吉林,理工,127.8,,,,,,,,,,
373,丽水学院,Lishui University,,浙江,师范,127.8,,,,,,,,,,
375,衡阳师范学院,Hengyang Normal University,,湖南,师范,127.5,,,,,,,,,,
376,西藏农牧学院,Xizang Agricultural and Animal Husbandry University,,西藏,农业,127.4,,,,,,,,,,
377,攀枝花学院,Panzhihua University,,四川,综合,127.2,,,,,,,,,,
378,湘南学院,Xiangnan University,,湖南,理工,127.1,,,,,,,,,,
379,长春大学,Changchun University,,吉林,综合,127,,,,,,,,,,
379,铜仁学院,Tongren University,,贵州,综合,127,,,,,,,,,,
381,湖北科技学院,Hubei University of Science and Technology,,湖北,综合,126.9,,,,,,,,,,
381,洛阳理工学院,Luoyang Institute of Science and Technology,,河南,综合,126.9,,,,,,,,,,
383,中国民用航空飞行学院,Civil Aviation Flight University of China,,四川,理工,126.5,,,,,,,,,,
384,岭南师范学院,Lingnan Normal University,,广东,师范,125.7,,,,,,,,,,
385,阜阳师范大学,Fuyang Normal University,,安徽,师范,125.6,,,,,,,,,,
385,佳木斯大学,Jiamusi University,,黑龙江,综合,125.6,,,,,,,,,,
385,黔南民族师范学院,Qiannan Normal College for Nationalities,,贵州,师范,125.6,,,,,,,,,,
