排名,高校名称,高校英文名称,高校等级,所在省份,高校类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,高端人才,重大项目与成果,国际竞争力
1,清华大学,Tsinghua University,双一流/985/211,北京,综合,1076.1,36.1,85.9,46,56.7,331.4,115.5,35.5,142.8,97.3,129
2,北京大学,Peking University,双一流/985/211,北京,综合,1027.7,35,85.9,28.9,53.1,328.5,113.8,17.8,151.8,102.6,110.2
3,浙江大学,Zhejiang University,双一流/985/211,浙江,综合,868.9,35.1,77.3,33.2,52.8,300.9,111.7,22.3,98.9,64.6,72.1
4,上海交通大学,Shanghai Jiao Tong University,双一流/985/211,上海,综合,851.7,35.7,69.8,28.9,54.1,278.8,116.3,25.5,96.6,88,57.9
5,复旦大学,Fudan University,双一流/985/211,上海,综合,788.4,36.8,74.1,17.4,51.7,267.8,89.9,23.3,98.6,73,55.7
6,南京大学,Nanjing University,双一流/985/211,江苏,综合,707.8,36.8,64.2,12.1,50.6,274.2,78.2,9.5,85.5,51.5,45.3
7,中国科学技术大学,University of Science and Technology of China,双一流/985/211,安徽,理工,637,40,49.7,13,51.8,238.4,73.1,9.8,76.1,27.4,57.8
8,武汉大学,Wuhan University,双一流/985/211,湖北,综合,629.2,33.8,53.1,14.6,53.6,270,64.5,9.3,53.8,44,32.5
9,华中科技大学,Huazhong University of Science and Technology,双一流/985/211,湖北,综合,628.9,32.8,48.2,13,50.6,254.5,78.1,10.9,52.9,54.1,33.9
10,西安交通大学,Xi'an Jiaotong University,双一流/985/211,陕西,综合,598.5,34.6,44,12.7,49.6,265.8,69.6,16.9,43.8,31.4,30.3
11,北京航空航天大学,Beihang University,双一流/985/211,北京,理工,585.4,33.5,41.6,15.7,50.7,243.6,64.1,11.8,53.6,46,24.7
12,中山大学,Sun Yat-sen University,双一流/985/211,广东,综合,585.2,32,54.2,15,51.6,210.9,90.2,9.2,58.2,29.5,34.5
13,北京理工大学,Beijing Institute of Technology,双一流/985/211,北京,理工,582.4,33.5,36.4,15.7,49.6,233.5,65.2,17.7,45.7,49.9,35.2
14,哈尔滨工业大学,Harbin Institute of Technology,双一流/985/211,黑龙江,理工,576.4,32.6,42.9,18.1,51.4,242.8,67.1,13.8,42.4,39.9,25.4
15,四川大学,Sichuan University,双一流/985/211,四川,综合,576.3,32.1,43.2,9.6,49.9,247.7,75.5,14.4,44.4,31.9,27.8
16,东南大学,Southeast University,双一流/985/211,江苏,综合,575,34.9,51.2,15.9,50.2,241.3,66.8,12.1,39,35.5,28
17,中国人民大学,Renmin University of China,双一流/985/211,北京,综合,558,33.7,58.5,11.2,50.4,245.8,44.9,1.4,44.6,51.9,15.6
18,同济大学,Tongji University,双一流/985/211,上海,综合,547.7,35.2,42,16.8,48.3,230.8,66.9,10.7,48,22.5,26.6
19,北京师范大学,Beijing Normal University,双一流/985/211,北京,师范,543.8,32.1,53.2,13.4,47.1,225.4,50,2.3,44.6,27.7,48.1
20,天津大学,Tianjin University,双一流/985/211,天津,理工,528.5,33.4,35.7,9.8,52,249,49.2,11.1,36.2,25.9,26.2
21,西北工业大学,Northwestern Polytechnical University,双一流/985/211,陕西,理工,513.7,33.1,26.6,13,52.2,223.7,59.5,8.4,25.1,42.2,29.8
22,山东大学,Shandong University,双一流/985/211,山东,综合,513.4,29.9,37.6,12.5,52.8,227.5,62.8,11.3,37,20.5,21.6
23,南开大学,Nankai University,双一流/985/211,天津,综合,512.2,32.3,37,6.7,49.4,239.6,47.3,3.5,39.8,29.9,26.8
24,厦门大学,Xiamen University,双一流/985/211,福建,综合,504.8,32.5,38.5,14.3,48.5,207.4,59.8,5.4,46.1,25.2,27
25,中国农业大学,China Agricultural University,双一流/985/211,北京,农业,499.2,31.7,40.8,9.7,48,201.2,51.3,9.6,38.4,39.2,29.2
26,吉林大学,Jilin University,双一流/985/211,吉林,综合,486,30.7,39.6,8.6,51.6,226.3,55,3.8,28.5,23.8,18.1
27,中南大学,Central South University,双一流/985/211,湖南,综合,485.3,31.3,37.1,8.7,46.6,207.6,65.1,11.4,30.1,22.4,25
28,大连理工大学,Dalian University of Technology,双一流/985/211,辽宁,理工,469.5,31.3,28.5,9.2,48.3,210.6,47,11.9,27.3,36.4,19
29,湖南大学,Hunan University,双一流/985/211,湖南,综合,466.4,30.7,28.1,8.8,46.3,198.2,44.5,12,27.7,45.1,25
30,华东师范大学,East China Normal University,双一流/985/211,上海,师范,460.1,32.8,32,10.3,48.1,210.8,44.4,2.8,33.2,22.7,22.8
31,华南理工大学,South China University of Technology,双一流/985/211,广东,理工,458.7,30.4,32.1,13.5,45.4,201.1,48.6,17,29.7,13.6,27.3
32,南方科技大学,Southern University of Science and Technology,双一流,广东,综合,457.1,33.3,18.4,24.2,49.5,146,44.9,3.8,64.4,11.1,61.5
33,电子科技大学,University of Electronic Science and Technology of China,双一流/985/211,四川,理工,442.8,32.3,23.1,8.6,45.3,218.4,38.7,6.5,27.7,17.1,25
34,重庆大学,Chongqing University,双一流/985/211,重庆,综合,425.7,31.3,28.3,7.7,45.8,208.7,43.8,8.8,21.6,11.3,18.4
35,北京科技大学,University of Science and Technology Beijing,双一流/211,北京,理工,418.9,33.2,25.4,7.8,48.3,196.4,39.2,6.2,27.2,16.7,18.6
36,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,双一流/211,江苏,理工,405,30.6,24.6,7.7,44.5,205.3,44,7.9,16.5,10.6,13.3
37,东北大学,Northeastern University,双一流/985/211,辽宁,理工,404.5,32.5,22.1,7.7,43.1,198.8,37.2,9.2,18.3,23.5,12.1
38,南京理工大学,Nanjing University of Science and Technology,双一流/211,江苏,理工,401.5,31.9,18.9,7.9,46.4,198.5,40.1,9.3,16.4,17.7,14.3
39,兰州大学,Lanzhou University,双一流/985/211,甘肃,综合,385.7,32.1,28.4,7,44.8,185.8,41.1,4.9,20.6,6.5,14.4
40,西安电子科技大学,Xidian University,双一流/211,陕西,理工,377.3,31,20.7,7.1,44.2,184.8,32,8.1,14.4,23.4,11.7
41,上海科技大学,ShanghaiTech University,双一流,上海,综合,374.8,37.7,14,21,48,145.4,21.8,15.2,33.3,4.9,33.7
42,北京交通大学,Beijing Jiaotong University,双一流/211,北京,理工,372.4,30.7,17.9,8,45.8,191.6,30.8,9,15.3,12.8,10.6
43,哈尔滨工程大学,Harbin Engineering University,双一流/211,黑龙江,理工,371.6,32.8,16.2,7.9,42.6,194,39.7,8.9,13.5,6.4,9.5
44,华东理工大学,East China University of Science and Technology,双一流/211,上海,理工,371.5,31.1,22.5,6.1,43.1,170.6,33.4,10.9,21.6,15.1,17.1
45,东北师范大学,Northeast Normal University,双一流/211,吉林,师范,368.8,31.3,31.9,5.5,42.6,191.6,25.4,1.3,13.3,14.6,11.3
46,苏州大学,Soochow University,双一流/211,江苏,综合,366.8,29.9,23.4,7.1,47.5,157.8,36.7,5.8,22.2,13.4,23.2
47,华中农业大学,Huazhong Agricultural University,双一流/211,湖北,农业,365.5,30.3,30.4,6.2,44.3,163.7,35.2,6.4,19.5,11.4,18.2
48,武汉理工大学,Wuhan University of Technology,双一流/211,湖北,理工,358.2,28.9,19.2,6.9,44.5,176.6,29.5,7.2,12.1,16.1,17.1
48,中国石油大学（北京）,"China University of Petroleum, Beijing",双一流/211,北京,理工,358.2,32.9,14.7,6.8,41.1,161.9,29.2,12.2,24.9,13.7,21
50,郑州大学,Zhengzhou University,双一流/211,河南,综合,353.1,29.6,28.3,5.2,42.4,161.9,41.6,5,13.2,6,19.8
51,江南大学,Jiangnan University,双一流/211,江苏,综合,349.7,29.3,19.7,5.8,43.4,160.7,28.7,18.2,15.4,15.1,13.6
52,西南交通大学,Southwest Jiaotong University,双一流/211,四川,理工,342.9,29.3,18.5,7.7,39.5,169,32.3,8.5,15.8,11.7,10.8
53,南京农业大学,Nanjing Agricultural University,双一流/211,江苏,农业,342.4,29.2,21.2,5.6,44.9,152.7,34.7,5.8,19.6,9,19.8
54,中国地质大学（武汉）,China University of Geosciences,双一流/211,湖北,理工,337.7,30.4,20.6,5.8,44.1,153.2,31.2,5.1,18.4,7.9,21
55,暨南大学,Jinan University,双一流/211,广东,综合,337.1,29,22.5,7.1,44.6,143.7,35,4.8,22.7,10.4,17
56,华中师范大学,Central China Normal University,双一流/211,湖北,师范,335.8,30.6,25.1,5.6,41.7,159.1,31.1,<1.0,17.1,11.5,14
56,中国海洋大学,Ocean University of China,双一流/985/211,山东,综合,335.8,31.7,20.9,7.9,44.6,153.7,31.2,2,18.1,9.4,16.4
58,南京师范大学,Nanjing Normal University,双一流/211,江苏,师范,334.2,30.4,20.7,4.9,42.3,164.1,29,2.3,13.6,12.5,14.4
59,中国矿业大学,China University of Mining and Technology,双一流/211,江苏,理工,332.7,27.8,20.1,5.9,42.9,163.8,29.9,12.3,11.6,8.1,10.2
60,北京邮电大学,Beijing University of Posts and Telecommunications,双一流/211,北京,理工,332.5,27,18.9,6.2,40.7,169.1,24,6.3,13.5,16.7,10.2
61,上海大学,Shanghai University,双一流/211,上海,综合,331.9,32.1,20.2,8.7,45.8,143.2,30.2,6.8,17.4,8.2,19.1
62,浙江工业大学,Zhejiang University of Technology,,浙江,理工,331.6,30.9,14.1,5.5,39.7,173.3,28.1,6.1,9.2,10.7,14
63,北京化工大学,Beijing University of Chemical Technology,双一流/211,北京,理工,331.4,29.2,14.1,5.5,40.6,150.1,27.2,12.1,17.6,14.5,20.5
64,河海大学,Hohai University,双一流/211,江苏,理工,330.2,32.6,20.6,5,41.9,158.2,32.5,4.3,12,10.8,12.3
65,陕西师范大学,Shaanxi Normal University,双一流/211,陕西,师范,329.4,29.8,18.9,5.3,44.6,173.5,24.8,<1.0,13.6,8.8,10
66,西南大学,Southwest University,双一流/211,重庆,综合,325.1,27.5,23.5,5.9,43.5,162.6,31.3,3.1,10.4,6.5,10.8
67,中国石油大学（华东）,China University of Petroleum (East China),双一流/211,山东,理工,324.7,28.7,18.3,6.2,40.9,165.4,23.4,6.9,9.4,11.2,14.3
68,深圳大学,Shenzhen University,,广东,综合,323.7,28.3,19.2,10.8,42.4,129.4,38.5,2.1,24,5.6,23.3
69,云南大学,Yunnan University,双一流/211,云南,综合,320.7,32.2,21.8,6.6,40.4,154.2,28.3,2.1,12.4,10.7,11.9
70,西北大学,Northwest University,双一流/211,陕西,综合,319.3,32.5,21.1,4.9,44.5,151.5,28.5,1.7,14.4,7.5,12.7
71,西北农林科技大学,Northwest A&F University,双一流/985/211,陕西,农业,319.1,30,20.8,6.4,46,149.7,32.4,2,11,4.9,15.8
72,北京工业大学,Beijing University of Technology,双一流/211,北京,理工,318.9,31.8,17.8,7.2,45.1,155.3,25.8,4.7,13.4,6.2,11.7
73,南昌大学,Nanchang University,双一流/211,江西,综合,313,28,19.6,5.3,37.3,161.3,30.3,5.5,9.4,4.1,12.1
74,东华大学,Donghua University,双一流/211,上海,理工,307.9,29.9,17,5.1,41.8,147.8,21.9,6.7,13.3,10.7,13.7
75,中国地质大学（北京）,China University of Geosciences Beijing,双一流/211,北京,理工,306.6,32.6,15.2,4.5,41.9,144.6,24.4,<1.0,20.5,3.3,18.8
76,中国矿业大学（北京）,China University of Mining & Technology-Beijing,双一流/211,北京,理工,304.9,27,14.6,3.6,38.8,138.1,21.1,7.3,16.5,28.6,9.2
77,福州大学,Fuzhou University,双一流/211,福建,理工,304.1,30,16.5,4.4,38.7,158,23.4,4.9,9.7,5.3,13.1
78,宁波大学,Ningbo University,双一流,浙江,综合,300.7,28.7,14.7,6.3,40.6,159.1,23.8,1.7,11.9,3.5,10.4
79,合肥工业大学,Hefei University of Technology,双一流/211,安徽,理工,297.6,27,17.3,4.6,42.4,153.7,24.4,6.5,9.5,2.9,9.2
80,华南师范大学,South China Normal University,双一流/211,广东,师范,295.9,28.3,18.8,6.3,39.2,148.1,22.9,1.3,12,7.5,11.5
81,南京邮电大学,Nanjing University of Posts and Telecommunications,双一流,江苏,理工,287.5,26.6,14.5,3.4,39.9,164.1,16.1,4,5,1.2,12.8
82,江苏大学,Jiangsu University,,江苏,综合,286.7,27.7,13.8,4.4,44.5,138.9,22.6,9,5.2,6.1,14.6
83,华北电力大学,North China Electric Power University,双一流/211,北京,理工,283.1,28.7,13.2,5.3,39.3,141.1,23.8,9.6,8.9,3.7,9.5
84,长安大学,Chang'an University,双一流/211,陕西,理工,281.1,28.7,13.9,5.7,42.7,146.2,19.7,2.7,5.1,5.2,11.2
85,北京林业大学,Beijing Forestry University,双一流/211,北京,林业,279.4,29.3,15.7,3.4,42.5,141,23.6,1,11.7,2.3,8.9
86,贵州大学,Guizhou University,双一流/211,贵州,综合,277.7,27.2,18.7,4.6,38.4,148.4,23.4,3.3,3.9,2.7,7.1
87,福建师范大学,Fujian Normal University,,福建,师范,277.4,27.3,14.6,3.6,39.7,148.2,19.1,<1.0,8.6,4.9,11.3
88,湖南师范大学,Hunan Normal University,双一流/211,湖南,师范,276.6,28.3,16.4,3.5,38.1,142.8,19.7,1,12.1,6.4,8.2
89,广西大学,Guangxi University,双一流/211,广西,综合,276.4,30,16.4,4.4,37.9,138.1,23.8,2.8,6.3,5.4,11.2
90,南京林业大学,Nanjing Forestry University,双一流,江苏,林业,275.1,27.4,14.7,3.3,41.2,149.9,16.6,2,4.9,3.8,11.3
91,扬州大学,Yangzhou University,,江苏,综合,274.7,26.8,16.1,4.7,41.5,134.8,23.1,3.4,7.4,4.9,12.1
92,浙江师范大学,Zhejiang Normal University,,浙江,师范,273.5,27,12.4,4.6,36.9,152,13.8,1.6,7.1,3.8,14.1
93,海南大学,Hainan University,双一流/211,海南,综合,272.2,26.2,16.5,6.8,39.5,136.7,23.2,1.9,8,2.2,11.2
94,南京工业大学,Nanjing Tech University,,江苏,理工,271.2,27.5,11.5,4.6,40.5,128.2,19.8,9.8,9.2,6.2,14
95,南京信息工程大学,Nanjing University of Information Science & Technology,双一流,江苏,理工,270.3,25.3,15.3,3.6,41.8,136.9,18.1,1.8,8.1,2.1,17.2
96,广东工业大学,Guangdong University of Technology,,广东,理工,269.8,26,13.8,6.4,36.3,130.4,21.3,5.5,8.8,8.3,13.1
97,杭州电子科技大学,Hangzhou Dianzi University,,浙江,理工,268.7,27.8,10.2,4,38.6,142.3,19.7,2.7,6.5,5,11.9
98,安徽大学,Anhui University,双一流/211,安徽,综合,265.9,28.1,17.3,5.3,37.3,136.4,21.8,<1.0,5.3,3.1,11
99,首都师范大学,Capital Normal University,双一流,北京,师范,265.6,30.3,15.4,5.3,40.8,126.9,16.8,1.3,12.3,6.9,9.5
100,华南农业大学,South China Agricultural University,双一流,广东,农业,264.8,25.8,14.5,6.1,38.1,127.8,20.6,3.9,8,8.1,11.8
101,山西大学,Shanxi University,双一流,山西,综合,263.8,,,,,,,,,,
102,河南大学,Henan University,双一流,河南,综合,262.3,,,,,,,,,,
103,太原理工大学,Taiyuan University of Technology,双一流/211,山西,理工,259.8,,,,,,,,,,
104,山东师范大学,Shandong Normal University,,山东,师范,259.4,,,,,,,,,,
105,广州大学,Guangzhou University,,广东,综合,259,,,,,,,,,,
106,浙江理工大学,Zhejiang Sci-Tech University,,浙江,理工,258.8,,,,,,,,,,
107,湘潭大学,Xiangtan University,双一流,湖南,综合,258,,,,,,,,,,
108,上海理工大学,University of Shanghai for Science and Technology,,上海,理工,257.4,,,,,,,,,,
109,河北工业大学,Hebei University of Technology,双一流/211,河北,理工,255.5,,,,,,,,,,
110,大连海事大学,Dalian Maritime University,双一流/211,辽宁,综合,255.3,,,,,,,,,,
111,青岛大学,Qingdao University,,山东,综合,255,,,,,,,,,,
112,燕山大学,Yanshan University,,河北,理工,251.5,,,,,,,,,,
113,东北林业大学,Northeast Forestry University,双一流/211,黑龙江,林业,248.6,,,,,,,,,,
114,杭州师范大学,Hangzhou Normal University,,浙江,师范,248.5,,,,,,,,,,
115,西安建筑科技大学,Xi'an University of Architecture and Technology,,陕西,理工,245.3,,,,,,,,,,
116,湖北大学,Hubei University,,湖北,综合,245.1,,,,,,,,,,
117,昆明理工大学,Kunming University of Science and Technology,,云南,理工,244.8,,,,,,,,,,
118,内蒙古大学,Inner Mongolia University,双一流/211,内蒙古,综合,244.2,,,,,,,,,,
119,西安理工大学,Xi'an University of Technology,,陕西,理工,243.3,,,,,,,,,,
120,武汉科技大学,Wuhan University of Science and Technology,,湖北,理工,241.5,,,,,,,,,,
121,江西师范大学,Jiangxi Normal University,,江西,师范,239.7,,,,,,,,,,
122,东北农业大学,Northeast Agricultural University,双一流/211,黑龙江,农业,236.7,,,,,,,,,,
122,西南石油大学,Southwest Petroleum University,双一流,四川,理工,236.7,,,,,,,,,,
124,上海师范大学,Shanghai Normal University,,上海,师范,236.6,,,,,,,,,,
125,福建农林大学,Fujian Agriculture and Forestry University,,福建,农业,235.8,,,,,,,,,,
126,温州大学,Wenzhou University,,浙江,综合,233.1,,,,,,,,,,
127,长沙理工大学,Changsha University of Science and Technology,,湖南,理工,231.7,,,,,,,,,,
127,新疆大学,Xinjiang University,双一流/211,新疆,综合,231.7,,,,,,,,,,
129,河北大学,Hebei University,,河北,综合,230.9,,,,,,,,,,
130,山东科技大学,Shandong University of Science and Technology,,山东,理工,229.9,,,,,,,,,,
131,辽宁大学,Liaoning University,双一流/211,辽宁,综合,228.3,,,,,,,,,,
132,成都理工大学,Chengdu University of Technology,双一流,四川,理工,228.1,,,,,,,,,,
133,山东农业大学,Shandong Agricultural University,,山东,农业,227.2,,,,,,,,,,
134,宁夏大学,Ningxia University,双一流/211,宁夏,综合,222.8,,,,,,,,,,
135,华侨大学,Huaqiao University,,福建,综合,222.5,,,,,,,,,,
135,陕西科技大学,Shaanxi University of Science and Technology,,陕西,理工,222.5,,,,,,,,,,
137,天津工业大学,Tiangong University,双一流,天津,理工,222.1,,,,,,,,,,
138,长春理工大学,Changchun University of Science and Technology,,吉林,理工,221.6,,,,,,,,,,
139,安徽师范大学,Anhui Normal University,,安徽,师范,219.7,,,,,,,,,,
140,石河子大学,Shihezi University,双一流/211,新疆,综合,218.8,,,,,,,,,,
141,四川农业大学,Sichuan Agricultural University,双一流/211,四川,农业,218.4,,,,,,,,,,
142,天津师范大学,Tianjin Normal University,,天津,师范,216.7,,,,,,,,,,
143,上海海洋大学,Shanghai Ocean University,双一流,上海,农业,216.2,,,,,,,,,,
144,江苏科技大学,Jiangsu University of Science and Technology,,江苏,理工,215.7,,,,,,,,,,
145,齐鲁工业大学,Qilu University of Technology,,山东,理工,215.2,,,,,,,,,,
146,中国计量大学,China Jiliang University,,浙江,理工,214.1,,,,,,,,,,
147,黑龙江大学,Heilongjiang University,,黑龙江,综合,213.9,,,,,,,,,,
148,安徽农业大学,Anhui Agricultural University,,安徽,农业,213.7,,,,,,,,,,
148,湖北工业大学,Hubei University of Technology,,湖北,理工,213.7,,,,,,,,,,
150,浙江农林大学,Zhejiang A&F University,,浙江,林业,213.3,,,,,,,,,,
151,南通大学,Nantong University,,江苏,综合,212.7,,,,,,,,,,
152,河南农业大学,Henan Agricultural University,,河南,农业,211,,,,,,,,,,
153,重庆邮电大学,Chongqing University of Posts and Telecommunications,,重庆,理工,210.2,,,,,,,,,,
154,常州大学,Changzhou University,,江苏,理工,209.2,,,,,,,,,,
155,广西师范大学,Guangxi Normal University,,广西,师范,208.3,,,,,,,,,,
156,湖南农业大学,Hunan Agricultural University,,湖南,农业,208,,,,,,,,,,
157,曲阜师范大学,Qufu Normal University,,山东,师范,207.2,,,,,,,,,,
158,吉林农业大学,Jilin Agricultural University,,吉林,农业,206.8,,,,,,,,,,
159,武汉纺织大学,Wuhan Textile University,,湖北,理工,206.7,,,,,,,,,,
160,武汉工程大学,Wuhan Institute of Technology,,湖北,理工,206.2,,,,,,,,,,
161,河南师范大学,Henan Normal University,,河南,师范,205.7,,,,,,,,,,
162,天津科技大学,Tianjin University of Science and Technology,,天津,理工,205.5,,,,,,,,,,
163,辽宁师范大学,Liaoning Normal University,,辽宁,师范,205.2,,,,,,,,,,
164,江苏师范大学,Jiangsu Normal University,,江苏,师范,204.9,,,,,,,,,,
165,北京建筑大学,Beijing University of Civil Engineering and Architecture,,北京,理工,204.7,,,,,,,,,,
166,汕头大学,Shantou University,,广东,综合,204.6,,,,,,,,,,
167,集美大学,Jimei University,,福建,综合,204.4,,,,,,,,,,
168,青岛科技大学,Qingdao University of Science and Technology,,山东,理工,204.2,,,,,,,,,,
168,三峡大学,China Three Gorges University,,湖北,综合,204.2,,,,,,,,,,
168,延边大学,Yanbian University,双一流/211,吉林,综合,204.2,,,,,,,,,,
171,沈阳农业大学,Shenyang Agricultural University,,辽宁,农业,204,,,,,,,,,,
172,河南科技大学,Henan University of Science and Technology,,河南,综合,203.8,,,,,,,,,,
173,中北大学,North University of China,,山西,理工,202.1,,,,,,,,,,
174,济南大学,University of Jinan,,山东,综合,201.4,,,,,,,,,,
175,华东交通大学,East China Jiaotong University,,江西,理工,200.5,,,,,,,,,,
176,上海海事大学,Shanghai Maritime University,,上海,综合,200.4,,,,,,,,,,
177,南昌航空大学,Nanchang Hangkong University,,江西,理工,200.2,,,,,,,,,,
178,河北师范大学,Hebei Normal University,,河北,师范,198.5,,,,,,,,,,
179,西北师范大学,Northwest Normal University,,甘肃,师范,197.6,,,,,,,,,,
180,天津理工大学,Tianjin University of Technology,,天津,理工,195.8,,,,,,,,,,
181,湖南科技大学,Hunan University of Science and Technology,,湖南,综合,194.7,,,,,,,,,,
182,国际关系学院,University of International Relations,,北京,综合,193.9,,,,,,,,,,
183,沈阳航空航天大学,Shenyang Aerospace University,,辽宁,理工,193.7,,,,,,,,,,
184,河南理工大学,Henan Polytechnic University,,河南,理工,192.7,,,,,,,,,,
185,长江大学,Yangtze University,,湖北,综合,191.8,,,,,,,,,,
186,上海电力大学,Shanghai University of Electric Power,,上海,理工,190.6,,,,,,,,,,
187,南华大学,University of South China,,湖南,综合,190.3,,,,,,,,,,
187,沈阳工业大学,Shenyang University of Technology,,辽宁,理工,190.3,,,,,,,,,,
189,重庆交通大学,Chongqing Jiaotong University,,重庆,理工,190,,,,,,,,,,
190,安徽工业大学,Anhui University of Technology,,安徽,理工,189.3,,,,,,,,,,
190,江西理工大学,Jiangxi University of Science and Technology,,江西,理工,189.3,,,,,,,,,,
192,西安科技大学,Xi'an University of Science and Technology,,陕西,理工,189.2,,,,,,,,,,
193,安徽理工大学,Anhui University of Science and Technology,,安徽,理工,188.8,,,,,,,,,,
194,山东理工大学,Shandong University of Technology,,山东,理工,188.6,,,,,,,,,,
195,西藏大学,Tibet University,双一流/211,西藏,综合,188.1,,,,,,,,,,
196,江西农业大学,Jiangxi Agricultural University,,江西,农业,187.8,,,,,,,,,,
197,河北农业大学,Hebei Agricultural University,,河北,农业,187.3,,,,,,,,,,
198,青海大学,Qinghai University,双一流/211,青海,综合,186.8,,,,,,,,,,
199,兰州理工大学,Lanzhou University of Technology,,甘肃,理工,186.5,,,,,,,,,,
200,西安邮电大学,Xi'an University of Posts and Telecommunications,,陕西,理工,185.4,,,,,,,,,,
201,桂林电子科技大学,Guilin University of Electronic Technology,,广西,理工,184.6,,,,,,,,,,
201,四川师范大学,Sichuan Normal University,,四川,师范,184.6,,,,,,,,,,
203,云南师范大学,Yunnan Normal University,,云南,师范,183.6,,,,,,,,,,
204,北京信息科技大学,Beijing Information Science & Technology University,,北京,理工,183.2,,,,,,,,,,
205,烟台大学,Yantai University,,山东,综合,183.1,,,,,,,,,,
206,苏州科技大学,Suzhou University of Science and Technology,,江苏,理工,182.8,,,,,,,,,,
207,中南林业科技大学,Central South University of Forestry & Technology,,湖南,林业,182.4,,,,,,,,,,
208,西南科技大学,Southwest University of Science and Technology,,四川,理工,181.4,,,,,,,,,,
209,兰州交通大学,Lanzhou Jiaotong University,,甘肃,理工,181.3,,,,,,,,,,
210,青岛理工大学,Qingdao University of Technology,,山东,理工,181.1,,,,,,,,,,
211,湖州师范学院,Huzhou University,,浙江,师范,180.7,,,,,,,,,,
212,西安工业大学,Xi'an Technological University,,陕西,理工,178.7,,,,,,,,,,
213,哈尔滨师范大学,Harbin Normal University,,黑龙江,师范,177.7,,,,,,,,,,
214,东华理工大学,East China University of Technology,,江西,理工,177.4,,,,,,,,,,
215,北方工业大学,North China University of Technology,,北京,理工,177.3,,,,,,,,,,
216,北京电子科技学院,Beijing Electronic Science and Technology Institute,,北京,理工,176.7,,,,,,,,,,
217,东北石油大学,Northeast Petroleum University,,黑龙江,理工,176.5,,,,,,,,,,
218,重庆师范大学,Chongqing Normal University,,重庆,师范,176,,,,,,,,,,
219,沈阳建筑大学,Shenyang Jianzhu University,,辽宁,理工,175.7,,,,,,,,,,
220,内蒙古农业大学,Inner Mongolia Agricultural University,,内蒙古,农业,175.5,,,,,,,,,,
221,内蒙古师范大学,Inner Mongolia Normal University,,内蒙古,师范,175.2,,,,,,,,,,
222,大连工业大学,Dalian Polytechnic University,,辽宁,理工,175,,,,,,,,,,
223,石家庄铁道大学,Shijiazhuang Tiedao University,,河北,理工,174.7,,,,,,,,,,
224,河南工业大学,Henan University of Technology,,河南,理工,174.5,,,,,,,,,,
225,嘉兴大学,Jiaxing University,,浙江,综合,173.9,,,,,,,,,,
226,海南师范大学,Hainan Normal University,,海南,师范,173.6,,,,,,,,,,
227,山西农业大学,Shanxi Agricultural University,,山西,农业,173.3,,,,,,,,,,
228,青岛农业大学,Qingdao Agricultural University,,山东,农业,173,,,,,,,,,,
229,东北电力大学,Northeast Electric Power University,,吉林,理工,172.7,,,,,,,,,,
229,浙江海洋大学,Zhejiang Ocean University,,浙江,农业,172.7,,,,,,,,,,
231,浙江科技大学,Zhejiang University of Science and Technology,,浙江,理工,172.6,,,,,,,,,,
232,成都大学,Chengdu University,,四川,综合,172.2,,,,,,,,,,
233,哈尔滨理工大学,Harbin University of Science and Technology,,黑龙江,理工,172,,,,,,,,,,
234,上海工程技术大学,Shanghai University of Engineering Science,,上海,理工,171.3,,,,,,,,,,
235,西安石油大学,Xi'an Shiyou University,,陕西,理工,170.7,,,,,,,,,,
236,上海应用技术大学,Shanghai Institute of Technology,,上海,理工,170.1,,,,,,,,,,
237,贵州师范大学,Guizhou Normal University,,贵州,师范,169.7,,,,,,,,,,
238,河北科技大学,Hebei University of Science and Technology,,河北,理工,169.3,,,,,,,,,,
239,佛山大学,Foshan University,,广东,理工,169,,,,,,,,,,
240,青海师范大学,Qinghai Normal University,,青海,师范,168.8,,,,,,,,,,
241,甘肃农业大学,Gansu Agricultural University,,甘肃,农业,168.4,,,,,,,,,,
242,东莞理工学院,Dongguan University of Technology,,广东,理工,168.3,,,,,,,,,,
243,中国民航大学,Civil Aviation University of China,,天津,理工,167.6,,,,,,,,,,
244,重庆理工大学,Chongqing University of Technology,,重庆,理工,167.3,,,,,,,,,,
245,华北水利水电大学,North China University of Water Resources and Electric Power,,河南,理工,167.2,,,,,,,,,,
246,武汉轻工大学,Wuhan Polytechnic University,,湖北,理工,166.9,,,,,,,,,,
247,鲁东大学,Ludong University,,山东,综合,166.8,,,,,,,,,,
248,赣南师范大学,Gannan Normal University,,江西,师范,166,,,,,,,,,,
249,山东建筑大学,Shandong Jianzhu University,,山东,理工,165.1,,,,,,,,,,
250,江汉大学,Jianghan University,,湖北,综合,164.8,,,,,,,,,,
251,浙大城市学院,Hangzhou City University,,浙江,理工,164.7,,,,,,,,,,
252,聊城大学,Liaocheng University,,山东,综合,164.2,,,,,,,,,,
253,沈阳化工大学,Shenyang University of Chemical Technology,,辽宁,理工,163.8,,,,,,,,,,
254,桂林理工大学,Guilin University of Technology,,广西,理工,163.1,,,,,,,,,,
255,成都信息工程大学,Chengdu University of Information Technology,,四川,理工,162.9,,,,,,,,,,
256,西安工程大学,Xi'an Polytechnic University,,陕西,理工,162.6,,,,,,,,,,
